[True]
Run timestamp: 07092023_040430_259.
Script arguments:
['../train_nichecompass_reference_model.py', '--dataset', 'spatial_atac_rna_seq_mouse_brain_batch2', '--reference_batches', 'None', '--n_neighbors', '8', '--filter_genes', '--n_hvg', '0', '--n_svg', '4000', '--n_svp', '0', '--nichenet_keep_target_genes_ratio', '1.0', '--nichenet_max_n_target_genes_per_gp', '250', '--include_mebocost_gps', '--include_collectri_gps', '--include_brain_marker_gps', '--species', 'mouse', '--gp_filter_mode', 'subset', '--combine_overlap_gps', '--overlap_thresh_source_genes', '0.9', '--overlap_thresh_target_genes', '0.9', '--overlap_thresh_genes', '0.9', '--counts_key', 'counts', '--condition_key', 'batch', '--cat_covariates_keys', 'batch', '--cat_covariates_no_edges', 'True', '--spatial_key', 'spatial', '--adj_key', 'spatial_connectivities', '--mapping_entity_key', 'mapping_entity', '--gp_targets_mask_key', 'nichecompass_gp_targets', '--gp_sources_mask_key', 'nichecompass_gp_sources', '--gp_names_key', 'nichecompass_gp_names', '--include_atac_modality', '--filter_peaks', '--min_cell_peak_thresh_ratio', '0.01', '--model_label', 'reference', '--active_gp_names_key', 'nichecompass_active_gp_names', '--latent_key', 'nichecompass_latent', '--n_addon_gp', '100', '--active_gp_thresh_ratio', '0.01', '--gene_expr_recon_dist', 'nb', '--cat_covariates_embeds_injection', 'None', '--cat_covariates_embeds_nums', '0', '--log_variational', '--node_label_method', 'one-hop-norm', '--n_layers_encoder', '1', '--n_hidden_encoder', 'None', '--conv_layer_encoder', 'gatv2conv', '--n_epochs', '400', '--n_epochs_all_gps', '25', '--n_epochs_no_cat_covariates_contrastive', '0', '--lr', '0.001', '--lambda_edge_recon', '5000000', '--lambda_gene_expr_recon', '3000', '--lambda_chrom_access_recon', '5000', '--lambda_cat_covariates_contrastive', '0.0', '--contrastive_logits_pos_ratio', '0.0', '--contrastive_logits_neg_ratio', '0.0', '--lambda_group_lasso', '0.', '--lambda_l1_masked', '0', '--lambda_l1_addon', '100.', '--edge_batch_size', '256', '--node_batch_size', 'None', '--n_sampled_neighbors', '4', '--timestamp_suffix', '_259']

Preparing the gene program mask...
Number of gene programs before filtering and combining: 3404.
Number of gene programs after filtering and combining: 2774.

Filtering genes...
Starting with 22914 genes.
Keeping 22914 genes after filtering genes with expression in 0 cells.
Keeping 4000 spatially variable, highly variable or gene program relevant genes.

Filtering peaks...
Starting with 121068 peaks.
Keeping 112141 peaks after filtering  peaks with counts in less than 92 cells.
Keeping 23411 peaks after filtering peaks with no matching genes in gp mask.

Training model...
--- INITIALIZING NEW NETWORK MODULE: VARIATIONAL GENE PROGRAM GRAPH AUTOENCODER ---
LOSS -> include_edge_recon_loss: True, include_gene_expr_recon_loss: True, rna_recon_loss: nb, include_chrom_access_recon_loss: True, atac_recon_loss: nb 
NODE LABEL METHOD -> one-hop-norm
ACTIVE GP THRESHOLD RATIO -> 0.01
LOG VARIATIONAL -> True
CATEGORICAL COVARIATES EMBEDDINGS INJECTION -> ['None']
ONE HOP GCN NORM RNA NODE LABEL AGGREGATOR
ONE HOP GCN NORM ATAC NODE LABEL AGGREGATOR
ENCODER -> n_input: 27040, n_cat_covariates_embed_input: 0, n_hidden: 2386, n_latent: 2286, n_addon_latent: 100, n_fc_layers: 1, n_layers: 1, conv_layer: gatv2conv, n_attention_heads: 4, dropout_rate: 0.0, use_bn: False
COSINE SIM GRAPH DECODER -> dropout_rate: 0.0
MASKED TARGET RNA DECODER -> n_prior_gp_input: 2286, n_addon_gp_input: 100, n_cat_covariates_embed_input: 0, n_output: 3629
MASKED SOURCE RNA DECODER -> n_prior_gp_input: 2286, n_addon_gp_input: 100, n_cat_covariates_embed_input: 0, n_output: 3629
MASKED TARGET ATAC DECODER -> n_prior_gp_input: 2286, n_addon_gp_input: 100, n_cat_covariates_embed_input: 0, n_output: 23411
MASKED SOURCE ATAC DECODER -> n_prior_gp_input: 2286, n_addon_gp_input: 100, n_cat_covariates_embed_input: 0, n_output: 23411

--- INITIALIZING TRAINER ---
Number of training nodes: 8293
Number of validation nodes: 922
Number of training edges: 33399
Number of validation edges: 3711
Edge batch size: 256
Node batch size: None

--- MODEL TRAINING ---
Epoch 1/400 |--------------------| 0.2% val_auroc_score: 0.7897; val_auprc_score: 0.8026; val_best_acc_score: 0.5503; val_best_f1_score: 0.6850; train_kl_reg_loss: 97115.7618; train_edge_recon_loss: 3631531.7481; train_gene_expr_recon_loss: 15169642.5649; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 937333.3237; train_chrom_access_recon_loss: 53465199.4198; train_global_loss: 73300823.0229; train_optim_loss: 73300823.0229; val_kl_reg_loss: 121699.1932; val_edge_recon_loss: 4061873.8167; val_gene_expr_recon_loss: 13976740.2667; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 513054.9688; val_chrom_access_recon_loss: 51096898.4000; val_global_loss: 69770265.3333; val_optim_loss: 69770265.3333
Epoch 2/400 |--------------------| 0.5% val_auroc_score: 0.8422; val_auprc_score: 0.8494; val_best_acc_score: 0.7352; val_best_f1_score: 0.7690; train_kl_reg_loss: 108996.5970; train_edge_recon_loss: 3544981.6870; train_gene_expr_recon_loss: 13904838.5496; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 318098.9779; train_chrom_access_recon_loss: 51103009.1603; train_global_loss: 68979924.5496; train_optim_loss: 68979924.5496; val_kl_reg_loss: 110158.1391; val_edge_recon_loss: 4049849.3000; val_gene_expr_recon_loss: 13741370.6000; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 197960.3281; val_chrom_access_recon_loss: 50577983.2000; val_global_loss: 68677321.8667; val_optim_loss: 68677321.8667
Epoch 3/400 |--------------------| 0.8% val_auroc_score: 0.8832; val_auprc_score: 0.8799; val_best_acc_score: 0.7920; val_best_f1_score: 0.8030; train_kl_reg_loss: 94447.8369; train_edge_recon_loss: 3504894.8302; train_gene_expr_recon_loss: 13663151.1908; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 152264.3726; train_chrom_access_recon_loss: 50413913.5573; train_global_loss: 67828671.4504; train_optim_loss: 67828671.4504; val_kl_reg_loss: 73814.8979; val_edge_recon_loss: 3729855.7500; val_gene_expr_recon_loss: 13567783.6667; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 119745.3828; val_chrom_access_recon_loss: 49735424.0000; val_global_loss: 67226624.0000; val_optim_loss: 67226624.0000
Epoch 4/400 |--------------------| 1.0% val_auroc_score: 0.8755; val_auprc_score: 0.8640; val_best_acc_score: 0.7877; val_best_f1_score: 0.8051; train_kl_reg_loss: 99051.9275; train_edge_recon_loss: 3106778.6775; train_gene_expr_recon_loss: 13495485.9466; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 101190.4118; train_chrom_access_recon_loss: 49900986.4427; train_global_loss: 66703493.3435; train_optim_loss: 66703493.3435; val_kl_reg_loss: 114929.3219; val_edge_recon_loss: 3003563.7333; val_gene_expr_recon_loss: 13412638.2667; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 86633.0234; val_chrom_access_recon_loss: 49638243.2000; val_global_loss: 66256007.4667; val_optim_loss: 66256007.4667
Epoch 5/400 |--------------------| 1.2% val_auroc_score: 0.8878; val_auprc_score: 0.8755; val_best_acc_score: 0.8061; val_best_f1_score: 0.8246; train_kl_reg_loss: 114594.2278; train_edge_recon_loss: 2945470.4809; train_gene_expr_recon_loss: 13345707.8321; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 77178.0627; train_chrom_access_recon_loss: 49406495.5115; train_global_loss: 65889445.8321; train_optim_loss: 65889445.8321; val_kl_reg_loss: 110841.2099; val_edge_recon_loss: 2908401.5333; val_gene_expr_recon_loss: 13260120.7333; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 69588.3750; val_chrom_access_recon_loss: 49058736.5333; val_global_loss: 65407687.7333; val_optim_loss: 65407687.7333
Epoch 6/400 |--------------------| 1.5% val_auroc_score: 0.8938; val_auprc_score: 0.8748; val_best_acc_score: 0.8154; val_best_f1_score: 0.8348; train_kl_reg_loss: 108351.4627; train_edge_recon_loss: 2893536.7672; train_gene_expr_recon_loss: 13228068.1527; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 64765.5665; train_chrom_access_recon_loss: 49009178.5344; train_global_loss: 65303900.6412; train_optim_loss: 65303900.6412; val_kl_reg_loss: 108349.3849; val_edge_recon_loss: 2874356.7500; val_gene_expr_recon_loss: 13165698.8000; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 60815.0273; val_chrom_access_recon_loss: 48644337.0667; val_global_loss: 64853556.2667; val_optim_loss: 64853556.2667
Epoch 7/400 |--------------------| 1.8% val_auroc_score: 0.9090; val_auprc_score: 0.8940; val_best_acc_score: 0.8290; val_best_f1_score: 0.8432; train_kl_reg_loss: 106327.0523; train_edge_recon_loss: 2855227.4103; train_gene_expr_recon_loss: 13118503.9237; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 58266.0270; train_chrom_access_recon_loss: 48603086.6870; train_global_loss: 64741410.9618; train_optim_loss: 64741410.9618; val_kl_reg_loss: 109413.0396; val_edge_recon_loss: 2849754.6833; val_gene_expr_recon_loss: 13025689.5333; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 55583.2383; val_chrom_access_recon_loss: 48278281.3333; val_global_loss: 64318721.6000; val_optim_loss: 64318721.6000
Epoch 8/400 |--------------------| 2.0% val_auroc_score: 0.9173; val_auprc_score: 0.8991; val_best_acc_score: 0.8434; val_best_f1_score: 0.8550; train_kl_reg_loss: 106886.2284; train_edge_recon_loss: 2819878.4408; train_gene_expr_recon_loss: 13041574.1069; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 53920.6041; train_chrom_access_recon_loss: 48304957.2214; train_global_loss: 64327216.7023; train_optim_loss: 64327216.7023; val_kl_reg_loss: 105237.7010; val_edge_recon_loss: 2845351.8833; val_gene_expr_recon_loss: 12980028.7333; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 52464.7812; val_chrom_access_recon_loss: 48026188.2667; val_global_loss: 64009270.6667; val_optim_loss: 64009270.6667
Epoch 9/400 |--------------------| 2.2% val_auroc_score: 0.9299; val_auprc_score: 0.9121; val_best_acc_score: 0.8593; val_best_f1_score: 0.8684; train_kl_reg_loss: 103279.5940; train_edge_recon_loss: 2797008.2500; train_gene_expr_recon_loss: 12950611.5954; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 51206.2454; train_chrom_access_recon_loss: 47958132.6107; train_global_loss: 63860238.3206; train_optim_loss: 63860238.3206; val_kl_reg_loss: 99783.2958; val_edge_recon_loss: 2799366.7333; val_gene_expr_recon_loss: 12925009.2000; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 50133.8789; val_chrom_access_recon_loss: 47731953.3333; val_global_loss: 63606246.6667; val_optim_loss: 63606246.6667
Epoch 10/400 |--------------------| 2.5% val_auroc_score: 0.9386; val_auprc_score: 0.9245; val_best_acc_score: 0.8712; val_best_f1_score: 0.8788; train_kl_reg_loss: 99464.7255; train_edge_recon_loss: 2791580.0401; train_gene_expr_recon_loss: 12876951.5115; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 48962.4182; train_chrom_access_recon_loss: 47668349.7099; train_global_loss: 63485308.7023; train_optim_loss: 63485308.7023; val_kl_reg_loss: 97159.5479; val_edge_recon_loss: 2785638.0167; val_gene_expr_recon_loss: 12802296.4667; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 47983.4180; val_chrom_access_recon_loss: 47441112.5333; val_global_loss: 63174189.6000; val_optim_loss: 63174189.6000
Epoch 11/400 |--------------------| 2.8% val_auroc_score: 0.9396; val_auprc_score: 0.9238; val_best_acc_score: 0.8725; val_best_f1_score: 0.8819; train_kl_reg_loss: 98369.2805; train_edge_recon_loss: 2773395.5763; train_gene_expr_recon_loss: 12803549.1450; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 47354.3698; train_chrom_access_recon_loss: 47321161.5573; train_global_loss: 63043829.9542; train_optim_loss: 63043829.9542; val_kl_reg_loss: 94993.7563; val_edge_recon_loss: 2765118.2667; val_gene_expr_recon_loss: 12732622.8667; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 46242.2461; val_chrom_access_recon_loss: 46876311.2000; val_global_loss: 62515288.0000; val_optim_loss: 62515288.0000
