[True]
Run timestamp: 07092023_144844_25.
Script arguments:
['../train_nichecompass_reference_model.py', '--dataset', 'spatial_atac_rna_seq_mouse_brain_batch2', '--reference_batches', 'None', '--n_neighbors', '8', '--filter_genes', '--n_hvg', '0', '--n_svg', '3000', '--n_svp', '5000', '--nichenet_keep_target_genes_ratio', '1.0', '--nichenet_max_n_target_genes_per_gp', '250', '--include_mebocost_gps', '--include_collectri_gps', '--include_brain_marker_gps', '--species', 'mouse', '--gp_filter_mode', 'subset', '--combine_overlap_gps', '--overlap_thresh_source_genes', '0.9', '--overlap_thresh_target_genes', '0.9', '--overlap_thresh_genes', '0.9', '--counts_key', 'counts', '--condition_key', 'batch', '--cat_covariates_keys', 'batch', '--cat_covariates_no_edges', 'True', '--spatial_key', 'spatial', '--adj_key', 'spatial_connectivities', '--mapping_entity_key', 'mapping_entity', '--gp_targets_mask_key', 'nichecompass_gp_targets', '--gp_sources_mask_key', 'nichecompass_gp_sources', '--gp_names_key', 'nichecompass_gp_names', '--include_atac_modality', '--filter_peaks', '--min_cell_peak_thresh_ratio', '0.01', '--model_label', 'reference', '--active_gp_names_key', 'nichecompass_active_gp_names', '--latent_key', 'nichecompass_latent', '--n_addon_gp', '100', '--active_gp_thresh_ratio', '0.01', '--gene_expr_recon_dist', 'nb', '--cat_covariates_embeds_injection', 'None', '--cat_covariates_embeds_nums', '0', '--log_variational', '--node_label_method', 'one-hop-norm', '--n_layers_encoder', '1', '--n_hidden_encoder', 'None', '--conv_layer_encoder', 'gatv2conv', '--n_epochs', '400', '--n_epochs_all_gps', '25', '--n_epochs_no_cat_covariates_contrastive', '0', '--lr', '0.001', '--lambda_edge_recon', '5000000', '--lambda_gene_expr_recon', '3000', '--lambda_chrom_access_recon', '3000', '--lambda_cat_covariates_contrastive', '0.0', '--contrastive_logits_pos_ratio', '0.0', '--contrastive_logits_neg_ratio', '0.0', '--lambda_group_lasso', '0.', '--lambda_l1_masked', '300', '--lambda_l1_addon', '1000.', '--edge_batch_size', '256', '--node_batch_size', 'None', '--n_sampled_neighbors', '4', '--timestamp_suffix', '_25']

Preparing the gene program mask...
Number of gene programs before filtering and combining: 3404.
Number of gene programs after filtering and combining: 2774.

Filtering genes...
Starting with 22914 genes.
Keeping 18578 genes after filtering genes with expression in {} cells.
Keeping 3000 spatially variable, highly variable or gene program relevant genes.

Filtering peaks...
Starting with 121068 peaks.
Keeping 112141 peaks after filtering  peaks with counts in less than 92 cells.
Keeping 5000 peaks after filtering spatially variable peaks.
Keeping 795 peaks after filtering peaks with no matching genes in gp mask.

Training model...
--- INITIALIZING NEW NETWORK MODULE: VARIATIONAL GENE PROGRAM GRAPH AUTOENCODER ---
LOSS -> include_edge_recon_loss: True, include_gene_expr_recon_loss: True, rna_recon_loss: nb, include_chrom_access_recon_loss: True, atac_recon_loss: nb 
NODE LABEL METHOD -> one-hop-norm
ACTIVE GP THRESHOLD RATIO -> 0.01
LOG VARIATIONAL -> True
CATEGORICAL COVARIATES EMBEDDINGS INJECTION -> ['None']
ONE HOP GCN NORM RNA NODE LABEL AGGREGATOR
ONE HOP GCN NORM ATAC NODE LABEL AGGREGATOR
ENCODER -> n_input: 3522, n_cat_covariates_embed_input: 0, n_hidden: 2313, n_latent: 2213, n_addon_latent: 100, n_fc_layers: 1, n_layers: 1, conv_layer: gatv2conv, n_attention_heads: 4, dropout_rate: 0.0, use_bn: False
COSINE SIM GRAPH DECODER -> dropout_rate: 0.0
MASKED TARGET RNA DECODER -> n_prior_gp_input: 2213, n_addon_gp_input: 100, n_cat_covariates_embed_input: 0, n_output: 2727
MASKED SOURCE RNA DECODER -> n_prior_gp_input: 2213, n_addon_gp_input: 100, n_cat_covariates_embed_input: 0, n_output: 2727
MASKED TARGET ATAC DECODER -> n_prior_gp_input: 2213, n_addon_gp_input: 100, n_cat_covariates_embed_input: 0, n_output: 795
MASKED SOURCE ATAC DECODER -> n_prior_gp_input: 2213, n_addon_gp_input: 100, n_cat_covariates_embed_input: 0, n_output: 795

--- INITIALIZING TRAINER ---
Number of training nodes: 8293
Number of validation nodes: 922
Number of training edges: 33399
Number of validation edges: 3711
Edge batch size: 256
Node batch size: None

--- MODEL TRAINING ---
Epoch 1/400 |--------------------| 0.2% val_auroc_score: 0.7548; val_auprc_score: 0.7727; val_best_acc_score: 0.5385; val_best_f1_score: 0.6813; train_kl_reg_loss: 56599.6590; train_edge_recon_loss: 3533170.3855; train_gene_expr_recon_loss: 12868737.6412; train_masked_gp_l1_reg_loss: 125559.4591; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 3111381.7977; train_chrom_access_recon_loss: 2727283.0248; train_global_loss: 22422732.0305; train_optim_loss: 22422732.0305; val_kl_reg_loss: 113153.3849; val_edge_recon_loss: 4063089.1667; val_gene_expr_recon_loss: 11964036.5333; val_masked_gp_l1_reg_loss: 118988.7969; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 269739.4375; val_chrom_access_recon_loss: 2650634.6167; val_global_loss: 19179641.7333; val_optim_loss: 19179641.7333
Epoch 2/400 |--------------------| 0.5% val_auroc_score: 0.8084; val_auprc_score: 0.8212; val_best_acc_score: 0.7070; val_best_f1_score: 0.7412; train_kl_reg_loss: 86363.7323; train_edge_recon_loss: 3512325.6240; train_gene_expr_recon_loss: 11838945.0229; train_masked_gp_l1_reg_loss: 114245.8987; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 169248.1951; train_chrom_access_recon_loss: 2601200.9523; train_global_loss: 18322329.5115; train_optim_loss: 18322329.5115; val_kl_reg_loss: 84538.1964; val_edge_recon_loss: 4035648.2500; val_gene_expr_recon_loss: 11769235.4667; val_masked_gp_l1_reg_loss: 113306.4688; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 125117.6406; val_chrom_access_recon_loss: 2622970.4333; val_global_loss: 18750816.5333; val_optim_loss: 18750816.5333
Epoch 3/400 |--------------------| 0.8% val_auroc_score: 0.8605; val_auprc_score: 0.8560; val_best_acc_score: 0.7715; val_best_f1_score: 0.7854; train_kl_reg_loss: 72980.0988; train_edge_recon_loss: 3401518.7156; train_gene_expr_recon_loss: 11653133.4580; train_masked_gp_l1_reg_loss: 116142.2279; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 110123.2402; train_chrom_access_recon_loss: 2566701.7195; train_global_loss: 17920599.4733; train_optim_loss: 17920599.4733; val_kl_reg_loss: 79432.1573; val_edge_recon_loss: 3185812.2000; val_gene_expr_recon_loss: 11605906.8667; val_masked_gp_l1_reg_loss: 125129.6797; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 102496.5781; val_chrom_access_recon_loss: 2591464.3000; val_global_loss: 17690242.4000; val_optim_loss: 17690242.4000
Epoch 4/400 |--------------------| 1.0% val_auroc_score: 0.8709; val_auprc_score: 0.8646; val_best_acc_score: 0.7746; val_best_f1_score: 0.7987; train_kl_reg_loss: 93858.4274; train_edge_recon_loss: 3072981.0782; train_gene_expr_recon_loss: 11586127.6107; train_masked_gp_l1_reg_loss: 130430.2177; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 98058.9538; train_chrom_access_recon_loss: 2541507.8053; train_global_loss: 17522964.0382; train_optim_loss: 17522964.0382; val_kl_reg_loss: 101121.6875; val_edge_recon_loss: 3001009.5833; val_gene_expr_recon_loss: 11457960.6000; val_masked_gp_l1_reg_loss: 131838.1250; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 90684.8828; val_chrom_access_recon_loss: 2547749.4833; val_global_loss: 17330364.0667; val_optim_loss: 17330364.0667
Epoch 5/400 |--------------------| 1.2% val_auroc_score: 0.8829; val_auprc_score: 0.8730; val_best_acc_score: 0.7873; val_best_f1_score: 0.8083; train_kl_reg_loss: 102181.8513; train_edge_recon_loss: 2947712.0534; train_gene_expr_recon_loss: 11426559.7481; train_masked_gp_l1_reg_loss: 133069.6182; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 87355.1449; train_chrom_access_recon_loss: 2510354.3588; train_global_loss: 17207232.8550; train_optim_loss: 17207232.8550; val_kl_reg_loss: 98780.3786; val_edge_recon_loss: 2913023.1500; val_gene_expr_recon_loss: 11390476.2667; val_masked_gp_l1_reg_loss: 134651.4844; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 85214.8438; val_chrom_access_recon_loss: 2536430.2833; val_global_loss: 17158576.1333; val_optim_loss: 17158576.1333
Epoch 6/400 |--------------------| 1.5% val_auroc_score: 0.9070; val_auprc_score: 0.8912; val_best_acc_score: 0.8316; val_best_f1_score: 0.8424; train_kl_reg_loss: 96699.7082; train_edge_recon_loss: 2892487.5458; train_gene_expr_recon_loss: 11316441.0000; train_masked_gp_l1_reg_loss: 136251.4113; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 83952.5909; train_chrom_access_recon_loss: 2488095.8874; train_global_loss: 17013928.1069; train_optim_loss: 17013928.1069; val_kl_reg_loss: 93818.6589; val_edge_recon_loss: 2877781.5000; val_gene_expr_recon_loss: 11291100.8667; val_masked_gp_l1_reg_loss: 137787.6719; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 83564.4531; val_chrom_access_recon_loss: 2515583.9500; val_global_loss: 16999637.0667; val_optim_loss: 16999637.0667
Epoch 7/400 |--------------------| 1.8% val_auroc_score: 0.9242; val_auprc_score: 0.9105; val_best_acc_score: 0.8513; val_best_f1_score: 0.8602; train_kl_reg_loss: 96101.5524; train_edge_recon_loss: 2838289.9828; train_gene_expr_recon_loss: 11219939.0458; train_masked_gp_l1_reg_loss: 139332.2622; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 84036.1626; train_chrom_access_recon_loss: 2470645.5515; train_global_loss: 16848344.5115; train_optim_loss: 16848344.5115; val_kl_reg_loss: 102489.7135; val_edge_recon_loss: 2810986.5333; val_gene_expr_recon_loss: 11157397.1333; val_masked_gp_l1_reg_loss: 140799.5469; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 84429.0312; val_chrom_access_recon_loss: 2492005.2333; val_global_loss: 16788107.6667; val_optim_loss: 16788107.6667
Epoch 8/400 |--------------------| 2.0% val_auroc_score: 0.9284; val_auprc_score: 0.9095; val_best_acc_score: 0.8627; val_best_f1_score: 0.8718; train_kl_reg_loss: 101360.2900; train_edge_recon_loss: 2813656.0611; train_gene_expr_recon_loss: 11124375.9237; train_masked_gp_l1_reg_loss: 141655.1350; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 84025.3746; train_chrom_access_recon_loss: 2450793.3244; train_global_loss: 16715866.1756; train_optim_loss: 16715866.1756; val_kl_reg_loss: 99817.8589; val_edge_recon_loss: 2816909.7167; val_gene_expr_recon_loss: 11097291.5333; val_masked_gp_l1_reg_loss: 141976.1250; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 84135.0781; val_chrom_access_recon_loss: 2459019.0000; val_global_loss: 16699148.8000; val_optim_loss: 16699148.8000
Epoch 9/400 |--------------------| 2.2% val_auroc_score: 0.9383; val_auprc_score: 0.9255; val_best_acc_score: 0.8744; val_best_f1_score: 0.8806; train_kl_reg_loss: 100667.1459; train_edge_recon_loss: 2789052.2863; train_gene_expr_recon_loss: 11053630.7328; train_masked_gp_l1_reg_loss: 144775.8395; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 85097.5429; train_chrom_access_recon_loss: 2435385.5687; train_global_loss: 16608609.0763; train_optim_loss: 16608609.0763; val_kl_reg_loss: 98505.2682; val_edge_recon_loss: 2790896.2667; val_gene_expr_recon_loss: 11018862.2667; val_masked_gp_l1_reg_loss: 145611.3594; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 85464.5781; val_chrom_access_recon_loss: 2455327.3167; val_global_loss: 16594666.9333; val_optim_loss: 16594666.9333
Epoch 10/400 |--------------------| 2.5% val_auroc_score: 0.9342; val_auprc_score: 0.9179; val_best_acc_score: 0.8709; val_best_f1_score: 0.8780; train_kl_reg_loss: 101375.6061; train_edge_recon_loss: 2774890.3378; train_gene_expr_recon_loss: 10986701.2137; train_masked_gp_l1_reg_loss: 145462.1510; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 85788.7820; train_chrom_access_recon_loss: 2418403.5668; train_global_loss: 16512621.7252; train_optim_loss: 16512621.7252; val_kl_reg_loss: 102905.1812; val_edge_recon_loss: 2804443.7667; val_gene_expr_recon_loss: 10969353.0667; val_masked_gp_l1_reg_loss: 145622.4219; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 86115.8438; val_chrom_access_recon_loss: 2455605.3167; val_global_loss: 16564045.4000; val_optim_loss: 16564045.4000
Epoch 11/400 |--------------------| 2.8% val_auroc_score: 0.9416; val_auprc_score: 0.9270; val_best_acc_score: 0.8786; val_best_f1_score: 0.8835; train_kl_reg_loss: 99618.1465; train_edge_recon_loss: 2765840.2786; train_gene_expr_recon_loss: 10932691.8244; train_masked_gp_l1_reg_loss: 145720.9172; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 86028.1619; train_chrom_access_recon_loss: 2405903.8378; train_global_loss: 16435803.2519; train_optim_loss: 16435803.2519; val_kl_reg_loss: 101223.2240; val_edge_recon_loss: 2781832.5000; val_gene_expr_recon_loss: 10931317.6000; val_masked_gp_l1_reg_loss: 145616.0156; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 86534.6250; val_chrom_access_recon_loss: 2439013.8667; val_global_loss: 16485538.2667; val_optim_loss: 16485538.2667
