[True]
Run timestamp: 10102023_043959_145.
Script arguments:
['../train_nichecompass_reference_model.py', '--dataset', 'spatial_atac_rna_seq_mouse_brain_batch2', '--reference_batches', 'None', '--n_neighbors', '8', '--filter_genes', '--n_hvg', '0', '--n_svg', '3000', '--n_svp', '5000', '--nichenet_keep_target_genes_ratio', '1.0', '--nichenet_max_n_target_genes_per_gp', '25', '--include_mebocost_gps', '--include_collectri_gps', '--include_brain_marker_gps', '--species', 'mouse', '--gp_filter_mode', 'subset', '--combine_overlap_gps', '--overlap_thresh_source_genes', '0.9', '--overlap_thresh_target_genes', '0.9', '--overlap_thresh_genes', '0.9', '--counts_key', 'counts', '--condition_key', 'batch', '--cat_covariates_keys', 'batch', '--cat_covariates_no_edges', 'True', '--spatial_key', 'spatial', '--adj_key', 'spatial_connectivities', '--mapping_entity_key', 'mapping_entity', '--gp_targets_mask_key', 'nichecompass_gp_targets', '--gp_sources_mask_key', 'nichecompass_gp_sources', '--gp_names_key', 'nichecompass_gp_names', '--include_atac_modality', '--filter_peaks', '--min_cell_peak_thresh_ratio', '0.005', '--min_cell_gene_thresh_ratio', '0.005', '--model_label', 'reference', '--active_gp_names_key', 'nichecompass_active_gp_names', '--latent_key', 'nichecompass_latent', '--n_addon_gp', '100', '--active_gp_thresh_ratio', '0.003', '--gene_expr_recon_dist', 'nb', '--cat_covariates_embeds_injection', 'None', '--cat_covariates_embeds_nums', '0', '--log_variational', '--node_label_method', 'one-hop-norm', '--n_layers_encoder', '1', '--n_hidden_encoder', 'None', '--conv_layer_encoder', 'gatv2conv', '--n_epochs', '400', '--n_epochs_all_gps', '25', '--n_epochs_no_cat_covariates_contrastive', '0', '--lr', '0.001', '--lambda_edge_recon', '1000000', '--lambda_gene_expr_recon', '5000', '--lambda_chrom_access_recon', '1000', '--lambda_cat_covariates_contrastive', '0.0', '--contrastive_logits_pos_ratio', '0.0', '--contrastive_logits_neg_ratio', '0.0', '--lambda_group_lasso', '0.', '--lambda_l1_masked', '300', '--lambda_l1_addon', '300.', '--edge_batch_size', '256', '--node_batch_size', 'None', '--n_sampled_neighbors', '4', '--timestamp_suffix', '_145']

Preparing the gene program mask...
Number of gene programs before filtering and combining: 3404.
Number of gene programs after filtering and combining: 2838.

Filtering genes...
Starting with 22914 genes.
Keeping 12959 genes after filtering genes with expression in {} cells.
Keeping 3000 spatially variable, highly variable or gene program relevant genes.

Filtering peaks...
Starting with 121068 peaks.
Keeping 120652 peaks after filtering  peaks with counts in less than 46 cells.
Keeping 5000 peaks after filtering spatially variable peaks.
Keeping 816 peaks after filtering peaks with no matching genes in gp mask.

Training model...
--- INITIALIZING NEW NETWORK MODULE: VARIATIONAL GENE PROGRAM GRAPH AUTOENCODER ---
LOSS -> include_edge_recon_loss: True, include_gene_expr_recon_loss: True, rna_recon_loss: nb, include_chrom_access_recon_loss: True, atac_recon_loss: nb 
NODE LABEL METHOD -> one-hop-norm
ACTIVE GP THRESHOLD RATIO -> 0.003
LOG VARIATIONAL -> True
CATEGORICAL COVARIATES EMBEDDINGS INJECTION -> ['None']
ONE HOP GCN NORM RNA NODE LABEL AGGREGATOR
ONE HOP GCN NORM ATAC NODE LABEL AGGREGATOR
ENCODER -> n_input: 3575, n_cat_covariates_embed_input: 0, n_hidden: 2265, n_latent: 2165, n_addon_latent: 100, n_fc_layers: 1, n_layers: 1, conv_layer: gatv2conv, n_attention_heads: 4, dropout_rate: 0.0, use_bn: False
COSINE SIM GRAPH DECODER -> dropout_rate: 0.0
MASKED TARGET RNA DECODER -> n_prior_gp_input: 2165, n_addon_gp_input: 100, n_cat_covariates_embed_input: 0, n_output: 2759
MASKED SOURCE RNA DECODER -> n_prior_gp_input: 2165, n_addon_gp_input: 100, n_cat_covariates_embed_input: 0, n_output: 2759
MASKED TARGET ATAC DECODER -> n_prior_gp_input: 2165, n_addon_gp_input: 100, n_cat_covariates_embed_input: 0, n_output: 816
MASKED SOURCE ATAC DECODER -> n_prior_gp_input: 2165, n_addon_gp_input: 100, n_cat_covariates_embed_input: 0, n_output: 816

--- INITIALIZING TRAINER ---
Number of training nodes: 8293
Number of validation nodes: 922
Number of training edges: 33399
Number of validation edges: 3711
Edge batch size: 256
Node batch size: None

--- MODEL TRAINING ---
Epoch 1/400 |--------------------| 0.2% val_auroc_score: 0.7711; val_auprc_score: 0.7875; val_best_acc_score: 0.6233; val_best_f1_score: 0.7160; train_kl_reg_loss: 63589.1651; train_edge_recon_loss: 740137.6851; train_gene_expr_recon_loss: 22222544.9771; train_masked_gp_l1_reg_loss: 44003.2368; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 2966306.8817; train_chrom_access_recon_loss: 949860.9637; train_global_loss: 26986443.0687; train_optim_loss: 26986443.0687; val_kl_reg_loss: 68124.5922; val_edge_recon_loss: 811427.6833; val_gene_expr_recon_loss: 21139133.4667; val_masked_gp_l1_reg_loss: 48665.0938; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 1153983.8750; val_chrom_access_recon_loss: 934248.5375; val_global_loss: 24155584.8000; val_optim_loss: 24155584.8000
Epoch 2/400 |--------------------| 0.5% val_auroc_score: 0.8586; val_auprc_score: 0.8617; val_best_acc_score: 0.7643; val_best_f1_score: 0.7818; train_kl_reg_loss: 65363.4028; train_edge_recon_loss: 726052.1326; train_gene_expr_recon_loss: 20913853.0229; train_masked_gp_l1_reg_loss: 50222.6659; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 615484.8638; train_chrom_access_recon_loss: 916303.0873; train_global_loss: 23287279.1298; train_optim_loss: 23287279.1298; val_kl_reg_loss: 57610.7854; val_edge_recon_loss: 775548.6375; val_gene_expr_recon_loss: 20941543.8667; val_masked_gp_l1_reg_loss: 51858.9297; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 329667.4688; val_chrom_access_recon_loss: 928215.1542; val_global_loss: 23084444.2667; val_optim_loss: 23084444.2667
Epoch 3/400 |--------------------| 0.8% val_auroc_score: 0.9071; val_auprc_score: 0.9010; val_best_acc_score: 0.8252; val_best_f1_score: 0.8328; train_kl_reg_loss: 59066.5811; train_edge_recon_loss: 679666.1260; train_gene_expr_recon_loss: 20604792.4275; train_masked_gp_l1_reg_loss: 53874.0630; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 252872.5344; train_chrom_access_recon_loss: 906303.0587; train_global_loss: 22556574.7176; train_optim_loss: 22556574.7176; val_kl_reg_loss: 63638.5497; val_edge_recon_loss: 645402.4333; val_gene_expr_recon_loss: 20587049.7333; val_masked_gp_l1_reg_loss: 56051.1211; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 203906.0000; val_chrom_access_recon_loss: 917135.5750; val_global_loss: 22473184.6667; val_optim_loss: 22473184.6667
Epoch 4/400 |--------------------| 1.0% val_auroc_score: 0.9335; val_auprc_score: 0.9215; val_best_acc_score: 0.8665; val_best_f1_score: 0.8703; train_kl_reg_loss: 66964.0222; train_edge_recon_loss: 620670.2963; train_gene_expr_recon_loss: 20343383.4351; train_masked_gp_l1_reg_loss: 57743.2212; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 175058.8773; train_chrom_access_recon_loss: 897273.0005; train_global_loss: 22161092.8702; train_optim_loss: 22161092.8702; val_kl_reg_loss: 67854.4557; val_edge_recon_loss: 610244.1750; val_gene_expr_recon_loss: 20359411.6000; val_masked_gp_l1_reg_loss: 59361.5586; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 153472.9375; val_chrom_access_recon_loss: 908741.4083; val_global_loss: 22159086.0000; val_optim_loss: 22159086.0000
Epoch 5/400 |--------------------| 1.2% val_auroc_score: 0.9302; val_auprc_score: 0.9151; val_best_acc_score: 0.8649; val_best_f1_score: 0.8727; train_kl_reg_loss: 65797.9612; train_edge_recon_loss: 606415.5081; train_gene_expr_recon_loss: 20182190.9008; train_masked_gp_l1_reg_loss: 60561.7637; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 139467.9507; train_chrom_access_recon_loss: 891032.1861; train_global_loss: 21945466.2748; train_optim_loss: 21945466.2748; val_kl_reg_loss: 64511.1284; val_edge_recon_loss: 602617.8292; val_gene_expr_recon_loss: 20193856.5333; val_masked_gp_l1_reg_loss: 61521.0117; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 127849.5156; val_chrom_access_recon_loss: 902731.5167; val_global_loss: 21953089.3333; val_optim_loss: 21953089.3333
Epoch 6/400 |--------------------| 1.5% val_auroc_score: 0.9410; val_auprc_score: 0.9310; val_best_acc_score: 0.8733; val_best_f1_score: 0.8792; train_kl_reg_loss: 62972.1431; train_edge_recon_loss: 598935.1813; train_gene_expr_recon_loss: 19994022.8244; train_masked_gp_l1_reg_loss: 62520.9879; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 120035.9163; train_chrom_access_recon_loss: 882772.5262; train_global_loss: 21721259.6336; train_optim_loss: 21721259.6336; val_kl_reg_loss: 60203.3695; val_edge_recon_loss: 600736.7458; val_gene_expr_recon_loss: 19987456.6667; val_masked_gp_l1_reg_loss: 63514.4727; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 114506.4141; val_chrom_access_recon_loss: 891879.0875; val_global_loss: 21718296.2667; val_optim_loss: 21718296.2667
Epoch 7/400 |--------------------| 1.8% val_auroc_score: 0.9428; val_auprc_score: 0.9336; val_best_acc_score: 0.8739; val_best_f1_score: 0.8803; train_kl_reg_loss: 60459.8581; train_edge_recon_loss: 593836.7896; train_gene_expr_recon_loss: 19869223.9389; train_masked_gp_l1_reg_loss: 64240.8290; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 107911.6826; train_chrom_access_recon_loss: 878385.7114; train_global_loss: 21574058.7481; train_optim_loss: 21574058.7481; val_kl_reg_loss: 58383.4471; val_edge_recon_loss: 594571.0000; val_gene_expr_recon_loss: 19884341.2000; val_masked_gp_l1_reg_loss: 64862.4766; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 103674.3750; val_chrom_access_recon_loss: 887735.5792; val_global_loss: 21593567.2000; val_optim_loss: 21593567.2000
Epoch 8/400 |--------------------| 2.0% val_auroc_score: 0.9436; val_auprc_score: 0.9325; val_best_acc_score: 0.8810; val_best_f1_score: 0.8857; train_kl_reg_loss: 58756.1683; train_edge_recon_loss: 591008.5835; train_gene_expr_recon_loss: 19733965.8168; train_masked_gp_l1_reg_loss: 65592.0857; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 100320.3049; train_chrom_access_recon_loss: 871638.2481; train_global_loss: 21421281.1603; train_optim_loss: 21421281.1603; val_kl_reg_loss: 59057.2422; val_edge_recon_loss: 589804.5583; val_gene_expr_recon_loss: 19788094.5333; val_masked_gp_l1_reg_loss: 66154.8906; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 97791.0625; val_chrom_access_recon_loss: 885879.1625; val_global_loss: 21486781.6000; val_optim_loss: 21486781.6000
Epoch 9/400 |--------------------| 2.2% val_auroc_score: 0.9487; val_auprc_score: 0.9388; val_best_acc_score: 0.8848; val_best_f1_score: 0.8902; train_kl_reg_loss: 57386.5208; train_edge_recon_loss: 587362.5711; train_gene_expr_recon_loss: 19630790.9008; train_masked_gp_l1_reg_loss: 66697.9967; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 96069.8107; train_chrom_access_recon_loss: 867412.3760; train_global_loss: 21305720.0916; train_optim_loss: 21305720.0916; val_kl_reg_loss: 56412.5477; val_edge_recon_loss: 587535.6333; val_gene_expr_recon_loss: 19759733.3333; val_masked_gp_l1_reg_loss: 67214.1641; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 93826.3906; val_chrom_access_recon_loss: 882240.6917; val_global_loss: 21446961.8667; val_optim_loss: 21446961.8667
Epoch 10/400 |--------------------| 2.5% val_auroc_score: 0.9531; val_auprc_score: 0.9438; val_best_acc_score: 0.8878; val_best_f1_score: 0.8925; train_kl_reg_loss: 56411.3255; train_edge_recon_loss: 584456.5897; train_gene_expr_recon_loss: 19545494.1985; train_masked_gp_l1_reg_loss: 67617.2687; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 93461.4740; train_chrom_access_recon_loss: 864895.1775; train_global_loss: 21212336.0153; train_optim_loss: 21212336.0153; val_kl_reg_loss: 56091.3927; val_edge_recon_loss: 589090.0792; val_gene_expr_recon_loss: 19557839.8667; val_masked_gp_l1_reg_loss: 68173.1250; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 92758.4766; val_chrom_access_recon_loss: 874354.3250; val_global_loss: 21238307.7333; val_optim_loss: 21238307.7333
Epoch 11/400 |--------------------| 2.8% val_auroc_score: 0.9552; val_auprc_score: 0.9424; val_best_acc_score: 0.8929; val_best_f1_score: 0.8961; train_kl_reg_loss: 55419.5757; train_edge_recon_loss: 582369.3206; train_gene_expr_recon_loss: 19429784.3664; train_masked_gp_l1_reg_loss: 68514.3432; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 91169.8978; train_chrom_access_recon_loss: 859152.7953; train_global_loss: 21086410.3511; train_optim_loss: 21086410.3511; val_kl_reg_loss: 55796.6229; val_edge_recon_loss: 581372.6625; val_gene_expr_recon_loss: 19465409.6000; val_masked_gp_l1_reg_loss: 68992.5703; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 89150.2266; val_chrom_access_recon_loss: 868742.6125; val_global_loss: 21129463.4667; val_optim_loss: 21129463.4667
