[True]
Run timestamp: 07092023_152710_33.
Script arguments:
['../train_nichecompass_reference_model.py', '--dataset', 'spatial_atac_rna_seq_mouse_brain_batch2', '--reference_batches', 'None', '--n_neighbors', '8', '--filter_genes', '--n_hvg', '0', '--n_svg', '3000', '--n_svp', '5000', '--nichenet_keep_target_genes_ratio', '1.0', '--nichenet_max_n_target_genes_per_gp', '250', '--include_mebocost_gps', '--include_collectri_gps', '--include_brain_marker_gps', '--species', 'mouse', '--gp_filter_mode', 'subset', '--combine_overlap_gps', '--overlap_thresh_source_genes', '0.9', '--overlap_thresh_target_genes', '0.9', '--overlap_thresh_genes', '0.9', '--counts_key', 'counts', '--condition_key', 'batch', '--cat_covariates_keys', 'batch', '--cat_covariates_no_edges', 'True', '--spatial_key', 'spatial', '--adj_key', 'spatial_connectivities', '--mapping_entity_key', 'mapping_entity', '--gp_targets_mask_key', 'nichecompass_gp_targets', '--gp_sources_mask_key', 'nichecompass_gp_sources', '--gp_names_key', 'nichecompass_gp_names', '--include_atac_modality', '--filter_peaks', '--min_cell_peak_thresh_ratio', '0.01', '--model_label', 'reference', '--active_gp_names_key', 'nichecompass_active_gp_names', '--latent_key', 'nichecompass_latent', '--n_addon_gp', '100', '--active_gp_thresh_ratio', '0.01', '--gene_expr_recon_dist', 'nb', '--cat_covariates_embeds_injection', 'None', '--cat_covariates_embeds_nums', '0', '--log_variational', '--node_label_method', 'one-hop-norm', '--n_layers_encoder', '1', '--n_hidden_encoder', 'None', '--conv_layer_encoder', 'gatv2conv', '--n_epochs', '400', '--n_epochs_all_gps', '25', '--n_epochs_no_cat_covariates_contrastive', '0', '--lr', '0.001', '--lambda_edge_recon', '5000000', '--lambda_gene_expr_recon', '3000', '--lambda_chrom_access_recon', '5000', '--lambda_cat_covariates_contrastive', '0.0', '--contrastive_logits_pos_ratio', '0.0', '--contrastive_logits_neg_ratio', '0.0', '--lambda_group_lasso', '0.', '--lambda_l1_masked', '100', '--lambda_l1_addon', '100.', '--edge_batch_size', '256', '--node_batch_size', 'None', '--n_sampled_neighbors', '4', '--timestamp_suffix', '_33']

Preparing the gene program mask...
Number of gene programs before filtering and combining: 3404.
Number of gene programs after filtering and combining: 2774.

Filtering genes...
Starting with 22914 genes.
Keeping 18578 genes after filtering genes with expression in {} cells.
Keeping 3000 spatially variable, highly variable or gene program relevant genes.

Filtering peaks...
Starting with 121068 peaks.
Keeping 112141 peaks after filtering  peaks with counts in less than 92 cells.
Keeping 5000 peaks after filtering spatially variable peaks.
Keeping 795 peaks after filtering peaks with no matching genes in gp mask.

Training model...
--- INITIALIZING NEW NETWORK MODULE: VARIATIONAL GENE PROGRAM GRAPH AUTOENCODER ---
LOSS -> include_edge_recon_loss: True, include_gene_expr_recon_loss: True, rna_recon_loss: nb, include_chrom_access_recon_loss: True, atac_recon_loss: nb 
NODE LABEL METHOD -> one-hop-norm
ACTIVE GP THRESHOLD RATIO -> 0.01
LOG VARIATIONAL -> True
CATEGORICAL COVARIATES EMBEDDINGS INJECTION -> ['None']
ONE HOP GCN NORM RNA NODE LABEL AGGREGATOR
ONE HOP GCN NORM ATAC NODE LABEL AGGREGATOR
ENCODER -> n_input: 3522, n_cat_covariates_embed_input: 0, n_hidden: 2313, n_latent: 2213, n_addon_latent: 100, n_fc_layers: 1, n_layers: 1, conv_layer: gatv2conv, n_attention_heads: 4, dropout_rate: 0.0, use_bn: False
COSINE SIM GRAPH DECODER -> dropout_rate: 0.0
MASKED TARGET RNA DECODER -> n_prior_gp_input: 2213, n_addon_gp_input: 100, n_cat_covariates_embed_input: 0, n_output: 2727
MASKED SOURCE RNA DECODER -> n_prior_gp_input: 2213, n_addon_gp_input: 100, n_cat_covariates_embed_input: 0, n_output: 2727
MASKED TARGET ATAC DECODER -> n_prior_gp_input: 2213, n_addon_gp_input: 100, n_cat_covariates_embed_input: 0, n_output: 795
MASKED SOURCE ATAC DECODER -> n_prior_gp_input: 2213, n_addon_gp_input: 100, n_cat_covariates_embed_input: 0, n_output: 795

--- INITIALIZING TRAINER ---
Number of training nodes: 8293
Number of validation nodes: 922
Number of training edges: 33399
Number of validation edges: 3711
Edge batch size: 256
Node batch size: None

--- MODEL TRAINING ---
Epoch 1/400 |--------------------| 0.2% val_auroc_score: 0.8046; val_auprc_score: 0.8157; val_best_acc_score: 0.5552; val_best_f1_score: 0.6912; train_kl_reg_loss: 76407.0659; train_edge_recon_loss: 3527266.9027; train_gene_expr_recon_loss: 12540308.2901; train_masked_gp_l1_reg_loss: 52774.2211; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 646053.7094; train_chrom_access_recon_loss: 4496563.3893; train_global_loss: 21339373.7099; train_optim_loss: 21339373.7099; val_kl_reg_loss: 102531.6135; val_edge_recon_loss: 4062413.1167; val_gene_expr_recon_loss: 11855292.1333; val_masked_gp_l1_reg_loss: 48579.9023; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 345498.7188; val_chrom_access_recon_loss: 4270185.6167; val_global_loss: 20684501.8667; val_optim_loss: 20684501.8667
Epoch 2/400 |--------------------| 0.5% val_auroc_score: 0.8445; val_auprc_score: 0.8550; val_best_acc_score: 0.7604; val_best_f1_score: 0.7567; train_kl_reg_loss: 79745.4078; train_edge_recon_loss: 3497584.1393; train_gene_expr_recon_loss: 11801910.2290; train_masked_gp_l1_reg_loss: 50365.0091; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 213954.2723; train_chrom_access_recon_loss: 4322750.4733; train_global_loss: 19966309.6183; train_optim_loss: 19966309.6183; val_kl_reg_loss: 73561.1849; val_edge_recon_loss: 3745372.1000; val_gene_expr_recon_loss: 11636137.6000; val_masked_gp_l1_reg_loss: 53194.9531; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 132098.1719; val_chrom_access_recon_loss: 4199094.3667; val_global_loss: 19839458.1333; val_optim_loss: 19839458.1333
Epoch 3/400 |--------------------| 0.8% val_auroc_score: 0.8821; val_auprc_score: 0.8740; val_best_acc_score: 0.7793; val_best_f1_score: 0.7981; train_kl_reg_loss: 74029.5326; train_edge_recon_loss: 3098046.8263; train_gene_expr_recon_loss: 11667351.9847; train_masked_gp_l1_reg_loss: 57388.2186; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 99883.1473; train_chrom_access_recon_loss: 4275353.4256; train_global_loss: 19272053.1145; train_optim_loss: 19272053.1145; val_kl_reg_loss: 89840.6677; val_edge_recon_loss: 2954101.5833; val_gene_expr_recon_loss: 11542969.2667; val_masked_gp_l1_reg_loss: 60171.8828; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 76306.8203; val_chrom_access_recon_loss: 4156211.9833; val_global_loss: 18879602.4000; val_optim_loss: 18879602.4000
Epoch 4/400 |--------------------| 1.0% val_auroc_score: 0.9039; val_auprc_score: 0.8919; val_best_acc_score: 0.8239; val_best_f1_score: 0.8339; train_kl_reg_loss: 88505.5346; train_edge_recon_loss: 2915122.9008; train_gene_expr_recon_loss: 11498687.2443; train_masked_gp_l1_reg_loss: 62080.4212; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 63709.0011; train_chrom_access_recon_loss: 4221373.1622; train_global_loss: 18849478.1832; train_optim_loss: 18849478.1832; val_kl_reg_loss: 82807.3609; val_edge_recon_loss: 2903460.2667; val_gene_expr_recon_loss: 11402825.6667; val_masked_gp_l1_reg_loss: 64349.3516; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 53933.6562; val_chrom_access_recon_loss: 4091790.5333; val_global_loss: 18599166.6667; val_optim_loss: 18599166.6667
Epoch 5/400 |--------------------| 1.2% val_auroc_score: 0.9164; val_auprc_score: 0.8970; val_best_acc_score: 0.8449; val_best_f1_score: 0.8577; train_kl_reg_loss: 83479.7708; train_edge_recon_loss: 2847990.6775; train_gene_expr_recon_loss: 11380227.5954; train_masked_gp_l1_reg_loss: 66318.9516; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 47865.1902; train_chrom_access_recon_loss: 4181270.7023; train_global_loss: 18607152.9313; train_optim_loss: 18607152.9313; val_kl_reg_loss: 81471.3448; val_edge_recon_loss: 2833084.8333; val_gene_expr_recon_loss: 11253582.6000; val_masked_gp_l1_reg_loss: 68213.7344; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 43140.8984; val_chrom_access_recon_loss: 4065045.3000; val_global_loss: 18344539.2000; val_optim_loss: 18344539.2000
Epoch 6/400 |--------------------| 1.5% val_auroc_score: 0.9311; val_auprc_score: 0.9147; val_best_acc_score: 0.8612; val_best_f1_score: 0.8698; train_kl_reg_loss: 85777.1726; train_edge_recon_loss: 2797311.8302; train_gene_expr_recon_loss: 11267040.5191; train_masked_gp_l1_reg_loss: 69710.2756; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 40013.3436; train_chrom_access_recon_loss: 4142484.7996; train_global_loss: 18402337.9389; train_optim_loss: 18402337.9389; val_kl_reg_loss: 82982.5495; val_edge_recon_loss: 2782278.0667; val_gene_expr_recon_loss: 11141057.5333; val_masked_gp_l1_reg_loss: 71201.0078; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 37756.4219; val_chrom_access_recon_loss: 4025340.4333; val_global_loss: 18140615.4667; val_optim_loss: 18140615.4667
Epoch 7/400 |--------------------| 1.8% val_auroc_score: 0.9349; val_auprc_score: 0.9169; val_best_acc_score: 0.8755; val_best_f1_score: 0.8832; train_kl_reg_loss: 84435.6282; train_edge_recon_loss: 2773596.3740; train_gene_expr_recon_loss: 11158733.0763; train_masked_gp_l1_reg_loss: 72524.6160; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 35946.8823; train_chrom_access_recon_loss: 4109541.8454; train_global_loss: 18234778.3893; train_optim_loss: 18234778.3893; val_kl_reg_loss: 83734.7115; val_edge_recon_loss: 2756704.4833; val_gene_expr_recon_loss: 11076410.6667; val_masked_gp_l1_reg_loss: 73920.3516; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 34814.0664; val_chrom_access_recon_loss: 4013452.4500; val_global_loss: 18039036.5333; val_optim_loss: 18039036.5333
Epoch 8/400 |--------------------| 2.0% val_auroc_score: 0.9435; val_auprc_score: 0.9313; val_best_acc_score: 0.8797; val_best_f1_score: 0.8856; train_kl_reg_loss: 83194.4320; train_edge_recon_loss: 2755486.0115; train_gene_expr_recon_loss: 11088155.7786; train_masked_gp_l1_reg_loss: 74941.2681; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 33751.7138; train_chrom_access_recon_loss: 4084677.8111; train_global_loss: 18120206.8702; train_optim_loss: 18120206.8702; val_kl_reg_loss: 85728.2589; val_edge_recon_loss: 2760808.0000; val_gene_expr_recon_loss: 10984085.8667; val_masked_gp_l1_reg_loss: 76105.7656; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 33256.9258; val_chrom_access_recon_loss: 3976780.6833; val_global_loss: 17916765.7333; val_optim_loss: 17916765.7333
Epoch 9/400 |--------------------| 2.2% val_auroc_score: 0.9441; val_auprc_score: 0.9269; val_best_acc_score: 0.8837; val_best_f1_score: 0.8883; train_kl_reg_loss: 81119.4203; train_edge_recon_loss: 2734713.8492; train_gene_expr_recon_loss: 11006263.6031; train_masked_gp_l1_reg_loss: 77023.3370; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 32391.0540; train_chrom_access_recon_loss: 4057008.0649; train_global_loss: 17988519.3740; train_optim_loss: 17988519.3740; val_kl_reg_loss: 78862.3896; val_edge_recon_loss: 2751002.7500; val_gene_expr_recon_loss: 10887522.8667; val_masked_gp_l1_reg_loss: 77973.4766; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 31621.1543; val_chrom_access_recon_loss: 3938014.8500; val_global_loss: 17764996.6667; val_optim_loss: 17764996.6667
Epoch 10/400 |--------------------| 2.5% val_auroc_score: 0.9521; val_auprc_score: 0.9412; val_best_acc_score: 0.8883; val_best_f1_score: 0.8942; train_kl_reg_loss: 78836.8441; train_edge_recon_loss: 2735580.4370; train_gene_expr_recon_loss: 10944691.2901; train_masked_gp_l1_reg_loss: 78856.0284; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 31007.5035; train_chrom_access_recon_loss: 4035343.9141; train_global_loss: 17904315.9847; train_optim_loss: 17904315.9847; val_kl_reg_loss: 79907.5177; val_edge_recon_loss: 2747507.9333; val_gene_expr_recon_loss: 10842203.7333; val_masked_gp_l1_reg_loss: 79580.2500; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 30371.7344; val_chrom_access_recon_loss: 3933981.7833; val_global_loss: 17713553.0667; val_optim_loss: 17713553.0667
Epoch 11/400 |--------------------| 2.8% val_auroc_score: 0.9568; val_auprc_score: 0.9450; val_best_acc_score: 0.8963; val_best_f1_score: 0.9005; train_kl_reg_loss: 77279.2609; train_edge_recon_loss: 2723608.3111; train_gene_expr_recon_loss: 10885227.0763; train_masked_gp_l1_reg_loss: 80279.6372; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 29900.0092; train_chrom_access_recon_loss: 4011757.4160; train_global_loss: 17808051.7328; train_optim_loss: 17808051.7328; val_kl_reg_loss: 76705.6698; val_edge_recon_loss: 2701279.4667; val_gene_expr_recon_loss: 10775426.5333; val_masked_gp_l1_reg_loss: 81039.3828; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 29559.2930; val_chrom_access_recon_loss: 3904406.3833; val_global_loss: 17568416.0000; val_optim_loss: 17568416.0000
