[True]
Run timestamp: 10102023_090013_209.
Script arguments:
['../train_nichecompass_reference_model.py', '--dataset', 'spatial_atac_rna_seq_mouse_brain_batch2', '--reference_batches', 'None', '--n_neighbors', '8', '--filter_genes', '--n_hvg', '0', '--n_svg', '3000', '--n_svp', '5000', '--nichenet_keep_target_genes_ratio', '1.0', '--nichenet_max_n_target_genes_per_gp', '25', '--include_mebocost_gps', '--include_collectri_gps', '--include_brain_marker_gps', '--species', 'mouse', '--gp_filter_mode', 'subset', '--combine_overlap_gps', '--overlap_thresh_source_genes', '0.9', '--overlap_thresh_target_genes', '0.9', '--overlap_thresh_genes', '0.9', '--counts_key', 'counts', '--condition_key', 'batch', '--cat_covariates_keys', 'batch', '--cat_covariates_no_edges', 'True', '--spatial_key', 'spatial', '--adj_key', 'spatial_connectivities', '--mapping_entity_key', 'mapping_entity', '--gp_targets_mask_key', 'nichecompass_gp_targets', '--gp_sources_mask_key', 'nichecompass_gp_sources', '--gp_names_key', 'nichecompass_gp_names', '--include_atac_modality', '--filter_peaks', '--min_cell_peak_thresh_ratio', '0.005', '--min_cell_gene_thresh_ratio', '0.005', '--model_label', 'reference', '--active_gp_names_key', 'nichecompass_active_gp_names', '--latent_key', 'nichecompass_latent', '--n_addon_gp', '100', '--active_gp_thresh_ratio', '0.001', '--gene_expr_recon_dist', 'nb', '--cat_covariates_embeds_injection', 'None', '--cat_covariates_embeds_nums', '0', '--log_variational', '--node_label_method', 'one-hop-norm', '--n_layers_encoder', '1', '--n_hidden_encoder', 'None', '--conv_layer_encoder', 'gatv2conv', '--n_epochs', '400', '--n_epochs_all_gps', '25', '--n_epochs_no_cat_covariates_contrastive', '0', '--lr', '0.001', '--lambda_edge_recon', '1000000', '--lambda_gene_expr_recon', '5000', '--lambda_chrom_access_recon', '3000', '--lambda_cat_covariates_contrastive', '0.0', '--contrastive_logits_pos_ratio', '0.0', '--contrastive_logits_neg_ratio', '0.0', '--lambda_group_lasso', '0.', '--lambda_l1_masked', '300', '--lambda_l1_addon', '300.', '--edge_batch_size', '256', '--node_batch_size', 'None', '--n_sampled_neighbors', '4', '--timestamp_suffix', '_209']

Preparing the gene program mask...
Number of gene programs before filtering and combining: 3404.
Number of gene programs after filtering and combining: 2838.

Filtering genes...
Starting with 22914 genes.
Keeping 12959 genes after filtering genes with expression in {} cells.
Keeping 3000 spatially variable, highly variable or gene program relevant genes.

Filtering peaks...
Starting with 121068 peaks.
Keeping 120652 peaks after filtering  peaks with counts in less than 46 cells.
Keeping 5000 peaks after filtering spatially variable peaks.
Keeping 816 peaks after filtering peaks with no matching genes in gp mask.

Training model...
--- INITIALIZING NEW NETWORK MODULE: VARIATIONAL GENE PROGRAM GRAPH AUTOENCODER ---
LOSS -> include_edge_recon_loss: True, include_gene_expr_recon_loss: True, rna_recon_loss: nb, include_chrom_access_recon_loss: True, atac_recon_loss: nb 
NODE LABEL METHOD -> one-hop-norm
ACTIVE GP THRESHOLD RATIO -> 0.001
LOG VARIATIONAL -> True
CATEGORICAL COVARIATES EMBEDDINGS INJECTION -> ['None']
ONE HOP GCN NORM RNA NODE LABEL AGGREGATOR
ONE HOP GCN NORM ATAC NODE LABEL AGGREGATOR
ENCODER -> n_input: 3575, n_cat_covariates_embed_input: 0, n_hidden: 2265, n_latent: 2165, n_addon_latent: 100, n_fc_layers: 1, n_layers: 1, conv_layer: gatv2conv, n_attention_heads: 4, dropout_rate: 0.0, use_bn: False
COSINE SIM GRAPH DECODER -> dropout_rate: 0.0
MASKED TARGET RNA DECODER -> n_prior_gp_input: 2165, n_addon_gp_input: 100, n_cat_covariates_embed_input: 0, n_output: 2759
MASKED SOURCE RNA DECODER -> n_prior_gp_input: 2165, n_addon_gp_input: 100, n_cat_covariates_embed_input: 0, n_output: 2759
MASKED TARGET ATAC DECODER -> n_prior_gp_input: 2165, n_addon_gp_input: 100, n_cat_covariates_embed_input: 0, n_output: 816
MASKED SOURCE ATAC DECODER -> n_prior_gp_input: 2165, n_addon_gp_input: 100, n_cat_covariates_embed_input: 0, n_output: 816

--- INITIALIZING TRAINER ---
Number of training nodes: 8293
Number of validation nodes: 922
Number of training edges: 33399
Number of validation edges: 3711
Edge batch size: 256
Node batch size: None

--- MODEL TRAINING ---
Epoch 1/400 |--------------------| 0.2% val_auroc_score: 0.7552; val_auprc_score: 0.7840; val_best_acc_score: 0.5247; val_best_f1_score: 0.6762; train_kl_reg_loss: 76927.8814; train_edge_recon_loss: 749086.6393; train_gene_expr_recon_loss: 22165072.3817; train_masked_gp_l1_reg_loss: 41022.2640; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 3016598.8521; train_chrom_access_recon_loss: 2835942.6718; train_global_loss: 28884650.5649; train_optim_loss: 28884650.5649; val_kl_reg_loss: 78206.1703; val_edge_recon_loss: 812707.1375; val_gene_expr_recon_loss: 20937988.2667; val_masked_gp_l1_reg_loss: 44188.6406; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 1214570.0000; val_chrom_access_recon_loss: 2741390.9000; val_global_loss: 25829050.4000; val_optim_loss: 25829050.4000
Epoch 2/400 |--------------------| 0.5% val_auroc_score: 0.8707; val_auprc_score: 0.8723; val_best_acc_score: 0.7914; val_best_f1_score: 0.7793; train_kl_reg_loss: 73190.9344; train_edge_recon_loss: 732195.3273; train_gene_expr_recon_loss: 20908468.3511; train_masked_gp_l1_reg_loss: 45047.4642; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 656059.1582; train_chrom_access_recon_loss: 2737911.0496; train_global_loss: 25152872.2748; train_optim_loss: 25152872.2748; val_kl_reg_loss: 68363.3646; val_edge_recon_loss: 794360.3792; val_gene_expr_recon_loss: 20692132.2667; val_masked_gp_l1_reg_loss: 46452.3594; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 355049.9375; val_chrom_access_recon_loss: 2723520.4500; val_global_loss: 24679878.6667; val_optim_loss: 24679878.6667
Epoch 3/400 |--------------------| 0.8% val_auroc_score: 0.9128; val_auprc_score: 0.9011; val_best_acc_score: 0.8335; val_best_f1_score: 0.8405; train_kl_reg_loss: 62519.3384; train_edge_recon_loss: 699201.3955; train_gene_expr_recon_loss: 20643349.5420; train_masked_gp_l1_reg_loss: 48385.2914; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 263293.3835; train_chrom_access_recon_loss: 2714038.7443; train_global_loss: 24430787.6641; train_optim_loss: 24430787.6641; val_kl_reg_loss: 66232.2841; val_edge_recon_loss: 653532.5250; val_gene_expr_recon_loss: 20429204.9333; val_masked_gp_l1_reg_loss: 50261.4766; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 205381.8594; val_chrom_access_recon_loss: 2683471.1167; val_global_loss: 24088085.0667; val_optim_loss: 24088085.0667
Epoch 4/400 |--------------------| 1.0% val_auroc_score: 0.9285; val_auprc_score: 0.9143; val_best_acc_score: 0.8537; val_best_f1_score: 0.8603; train_kl_reg_loss: 71860.7609; train_edge_recon_loss: 625856.1727; train_gene_expr_recon_loss: 20381272.8397; train_masked_gp_l1_reg_loss: 52108.0402; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 178278.6823; train_chrom_access_recon_loss: 2685060.1966; train_global_loss: 23994436.8397; train_optim_loss: 23994436.8397; val_kl_reg_loss: 70812.6484; val_edge_recon_loss: 617820.7792; val_gene_expr_recon_loss: 20206831.0667; val_masked_gp_l1_reg_loss: 53918.7422; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 158149.6562; val_chrom_access_recon_loss: 2662977.9500; val_global_loss: 23770510.4000; val_optim_loss: 23770510.4000
Epoch 5/400 |--------------------| 1.2% val_auroc_score: 0.9307; val_auprc_score: 0.9179; val_best_acc_score: 0.8580; val_best_f1_score: 0.8637; train_kl_reg_loss: 70588.3474; train_edge_recon_loss: 608664.5544; train_gene_expr_recon_loss: 20189381.3740; train_masked_gp_l1_reg_loss: 55202.0721; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 144434.8554; train_chrom_access_recon_loss: 2663126.8378; train_global_loss: 23731398.1679; train_optim_loss: 23731398.1679; val_kl_reg_loss: 69579.6510; val_edge_recon_loss: 606860.3625; val_gene_expr_recon_loss: 19999984.1333; val_masked_gp_l1_reg_loss: 56549.6328; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 134902.5469; val_chrom_access_recon_loss: 2651703.5667; val_global_loss: 23519579.6000; val_optim_loss: 23519579.6000
Epoch 6/400 |--------------------| 1.5% val_auroc_score: 0.9445; val_auprc_score: 0.9345; val_best_acc_score: 0.8736; val_best_f1_score: 0.8801; train_kl_reg_loss: 66797.3716; train_edge_recon_loss: 601056.0635; train_gene_expr_recon_loss: 20028373.4504; train_masked_gp_l1_reg_loss: 57608.6326; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 127074.7548; train_chrom_access_recon_loss: 2644801.3950; train_global_loss: 23525711.6183; train_optim_loss: 23525711.6183; val_kl_reg_loss: 66685.6086; val_edge_recon_loss: 597326.6083; val_gene_expr_recon_loss: 19841454.0000; val_masked_gp_l1_reg_loss: 58869.5156; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 121381.7109; val_chrom_access_recon_loss: 2627793.6667; val_global_loss: 23313512.0000; val_optim_loss: 23313512.0000
Epoch 7/400 |--------------------| 1.8% val_auroc_score: 0.9474; val_auprc_score: 0.9361; val_best_acc_score: 0.8824; val_best_f1_score: 0.8872; train_kl_reg_loss: 64351.8810; train_edge_recon_loss: 597535.2634; train_gene_expr_recon_loss: 19868263.8626; train_masked_gp_l1_reg_loss: 59544.8621; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 115531.0098; train_chrom_access_recon_loss: 2625442.8473; train_global_loss: 23330669.7405; train_optim_loss: 23330669.7405; val_kl_reg_loss: 60029.3513; val_edge_recon_loss: 598615.4292; val_gene_expr_recon_loss: 19760607.2000; val_masked_gp_l1_reg_loss: 60295.0273; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 110289.5703; val_chrom_access_recon_loss: 2615524.8667; val_global_loss: 23205362.5333; val_optim_loss: 23205362.5333
Epoch 8/400 |--------------------| 2.0% val_auroc_score: 0.9512; val_auprc_score: 0.9435; val_best_acc_score: 0.8816; val_best_f1_score: 0.8857; train_kl_reg_loss: 62175.9973; train_edge_recon_loss: 591310.1636; train_gene_expr_recon_loss: 19767847.5420; train_masked_gp_l1_reg_loss: 61121.8906; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 107634.5873; train_chrom_access_recon_loss: 2613963.1775; train_global_loss: 23204053.3130; train_optim_loss: 23204053.3130; val_kl_reg_loss: 60344.9250; val_edge_recon_loss: 591661.3000; val_gene_expr_recon_loss: 19621032.1333; val_masked_gp_l1_reg_loss: 61943.8398; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 104858.4844; val_chrom_access_recon_loss: 2605732.6167; val_global_loss: 23045573.0667; val_optim_loss: 23045573.0667
Epoch 9/400 |--------------------| 2.2% val_auroc_score: 0.9573; val_auprc_score: 0.9488; val_best_acc_score: 0.8964; val_best_f1_score: 0.8991; train_kl_reg_loss: 61251.2025; train_edge_recon_loss: 586053.4761; train_gene_expr_recon_loss: 19637530.8855; train_masked_gp_l1_reg_loss: 62633.7342; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 102279.0766; train_chrom_access_recon_loss: 2594484.4313; train_global_loss: 23044232.8092; train_optim_loss: 23044232.8092; val_kl_reg_loss: 60650.5630; val_edge_recon_loss: 591253.1083; val_gene_expr_recon_loss: 19549447.4667; val_masked_gp_l1_reg_loss: 63254.6445; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 100656.7500; val_chrom_access_recon_loss: 2584777.7833; val_global_loss: 22950039.0667; val_optim_loss: 22950039.0667
Epoch 10/400 |--------------------| 2.5% val_auroc_score: 0.9606; val_auprc_score: 0.9507; val_best_acc_score: 0.9027; val_best_f1_score: 0.9044; train_kl_reg_loss: 59469.9689; train_edge_recon_loss: 584857.9027; train_gene_expr_recon_loss: 19533427.8931; train_masked_gp_l1_reg_loss: 64012.9625; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 98756.5926; train_chrom_access_recon_loss: 2581518.6011; train_global_loss: 22922043.9084; train_optim_loss: 22922043.9084; val_kl_reg_loss: 58084.5125; val_edge_recon_loss: 587394.4792; val_gene_expr_recon_loss: 19413494.1333; val_masked_gp_l1_reg_loss: 64710.2656; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 97938.6484; val_chrom_access_recon_loss: 2575810.3667; val_global_loss: 22797431.3333; val_optim_loss: 22797431.3333
Epoch 11/400 |--------------------| 2.8% val_auroc_score: 0.9619; val_auprc_score: 0.9539; val_best_acc_score: 0.9054; val_best_f1_score: 0.9080; train_kl_reg_loss: 58439.3274; train_edge_recon_loss: 582302.1908; train_gene_expr_recon_loss: 19431557.7557; train_masked_gp_l1_reg_loss: 65293.6598; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 96727.0509; train_chrom_access_recon_loss: 2570336.5744; train_global_loss: 22804656.5496; train_optim_loss: 22804656.5496; val_kl_reg_loss: 58362.2974; val_edge_recon_loss: 584510.0208; val_gene_expr_recon_loss: 19397779.0667; val_masked_gp_l1_reg_loss: 65979.3828; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 95868.1797; val_chrom_access_recon_loss: 2576844.1833; val_global_loss: 22779343.6000; val_optim_loss: 22779343.6000
