[True]
Run timestamp: 10102023_080710_197.
Script arguments:
['../train_nichecompass_reference_model.py', '--dataset', 'spatial_atac_rna_seq_mouse_brain_batch2', '--reference_batches', 'None', '--n_neighbors', '8', '--filter_genes', '--n_hvg', '0', '--n_svg', '3000', '--n_svp', '15000', '--nichenet_keep_target_genes_ratio', '1.0', '--nichenet_max_n_target_genes_per_gp', '25', '--include_mebocost_gps', '--include_collectri_gps', '--include_brain_marker_gps', '--species', 'mouse', '--gp_filter_mode', 'subset', '--combine_overlap_gps', '--overlap_thresh_source_genes', '0.9', '--overlap_thresh_target_genes', '0.9', '--overlap_thresh_genes', '0.9', '--counts_key', 'counts', '--condition_key', 'batch', '--cat_covariates_keys', 'batch', '--cat_covariates_no_edges', 'True', '--spatial_key', 'spatial', '--adj_key', 'spatial_connectivities', '--mapping_entity_key', 'mapping_entity', '--gp_targets_mask_key', 'nichecompass_gp_targets', '--gp_sources_mask_key', 'nichecompass_gp_sources', '--gp_names_key', 'nichecompass_gp_names', '--include_atac_modality', '--filter_peaks', '--min_cell_peak_thresh_ratio', '0.005', '--min_cell_gene_thresh_ratio', '0.005', '--model_label', 'reference', '--active_gp_names_key', 'nichecompass_active_gp_names', '--latent_key', 'nichecompass_latent', '--n_addon_gp', '100', '--active_gp_thresh_ratio', '0.003', '--gene_expr_recon_dist', 'nb', '--cat_covariates_embeds_injection', 'None', '--cat_covariates_embeds_nums', '0', '--log_variational', '--node_label_method', 'one-hop-norm', '--n_layers_encoder', '1', '--n_hidden_encoder', 'None', '--conv_layer_encoder', 'gatv2conv', '--n_epochs', '400', '--n_epochs_all_gps', '25', '--n_epochs_no_cat_covariates_contrastive', '0', '--lr', '0.001', '--lambda_edge_recon', '1000000', '--lambda_gene_expr_recon', '5000', '--lambda_chrom_access_recon', '3000', '--lambda_cat_covariates_contrastive', '0.0', '--contrastive_logits_pos_ratio', '0.0', '--contrastive_logits_neg_ratio', '0.0', '--lambda_group_lasso', '0.', '--lambda_l1_masked', '300', '--lambda_l1_addon', '300.', '--edge_batch_size', '256', '--node_batch_size', 'None', '--n_sampled_neighbors', '4', '--timestamp_suffix', '_197']

Preparing the gene program mask...
Number of gene programs before filtering and combining: 3404.
Number of gene programs after filtering and combining: 2838.

Filtering genes...
Starting with 22914 genes.
Keeping 12959 genes after filtering genes with expression in {} cells.
Keeping 3000 spatially variable, highly variable or gene program relevant genes.

Filtering peaks...
Starting with 121068 peaks.
Keeping 120652 peaks after filtering  peaks with counts in less than 46 cells.
Keeping 15000 peaks after filtering spatially variable peaks.
Keeping 2422 peaks after filtering peaks with no matching genes in gp mask.

Training model...
--- INITIALIZING NEW NETWORK MODULE: VARIATIONAL GENE PROGRAM GRAPH AUTOENCODER ---
LOSS -> include_edge_recon_loss: True, include_gene_expr_recon_loss: True, rna_recon_loss: nb, include_chrom_access_recon_loss: True, atac_recon_loss: nb 
NODE LABEL METHOD -> one-hop-norm
ACTIVE GP THRESHOLD RATIO -> 0.003
LOG VARIATIONAL -> True
CATEGORICAL COVARIATES EMBEDDINGS INJECTION -> ['None']
ONE HOP GCN NORM RNA NODE LABEL AGGREGATOR
ONE HOP GCN NORM ATAC NODE LABEL AGGREGATOR
ENCODER -> n_input: 5181, n_cat_covariates_embed_input: 0, n_hidden: 2265, n_latent: 2165, n_addon_latent: 100, n_fc_layers: 1, n_layers: 1, conv_layer: gatv2conv, n_attention_heads: 4, dropout_rate: 0.0, use_bn: False
COSINE SIM GRAPH DECODER -> dropout_rate: 0.0
MASKED TARGET RNA DECODER -> n_prior_gp_input: 2165, n_addon_gp_input: 100, n_cat_covariates_embed_input: 0, n_output: 2759
MASKED SOURCE RNA DECODER -> n_prior_gp_input: 2165, n_addon_gp_input: 100, n_cat_covariates_embed_input: 0, n_output: 2759
MASKED TARGET ATAC DECODER -> n_prior_gp_input: 2165, n_addon_gp_input: 100, n_cat_covariates_embed_input: 0, n_output: 2422
MASKED SOURCE ATAC DECODER -> n_prior_gp_input: 2165, n_addon_gp_input: 100, n_cat_covariates_embed_input: 0, n_output: 2422

--- INITIALIZING TRAINER ---
Number of training nodes: 8293
Number of validation nodes: 922
Number of training edges: 33399
Number of validation edges: 3711
Edge batch size: 256
Node batch size: None

--- MODEL TRAINING ---
Epoch 1/400 |--------------------| 0.2% val_auroc_score: 0.7783; val_auprc_score: 0.7926; val_best_acc_score: 0.5753; val_best_f1_score: 0.6975; train_kl_reg_loss: 71086.1252; train_edge_recon_loss: 749790.8511; train_gene_expr_recon_loss: 22317934.1069; train_masked_gp_l1_reg_loss: 42465.5057; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 3111114.1174; train_chrom_access_recon_loss: 6699797.0229; train_global_loss: 32992187.8015; train_optim_loss: 32992187.8015; val_kl_reg_loss: 80294.6047; val_edge_recon_loss: 812244.9792; val_gene_expr_recon_loss: 20763098.2667; val_masked_gp_l1_reg_loss: 46106.9531; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 1322214.0000; val_chrom_access_recon_loss: 6529691.9667; val_global_loss: 29553649.7333; val_optim_loss: 29553649.7333
Epoch 2/400 |--------------------| 0.5% val_auroc_score: 0.8453; val_auprc_score: 0.8526; val_best_acc_score: 0.7619; val_best_f1_score: 0.7560; train_kl_reg_loss: 72673.7333; train_edge_recon_loss: 732550.5811; train_gene_expr_recon_loss: 20985722.9160; train_masked_gp_l1_reg_loss: 47696.3797; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 722733.5451; train_chrom_access_recon_loss: 6472003.7863; train_global_loss: 29033380.9008; train_optim_loss: 29033380.9008; val_kl_reg_loss: 60670.3109; val_edge_recon_loss: 801328.3625; val_gene_expr_recon_loss: 20461930.8000; val_masked_gp_l1_reg_loss: 49222.8828; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 389307.1250; val_chrom_access_recon_loss: 6426257.0667; val_global_loss: 28188716.5333; val_optim_loss: 28188716.5333
Epoch 3/400 |--------------------| 0.8% val_auroc_score: 0.9075; val_auprc_score: 0.9010; val_best_acc_score: 0.8281; val_best_f1_score: 0.8350; train_kl_reg_loss: 61061.3695; train_edge_recon_loss: 710816.5262; train_gene_expr_recon_loss: 20671140.3817; train_masked_gp_l1_reg_loss: 50950.8132; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 289929.4863; train_chrom_access_recon_loss: 6382984.6756; train_global_loss: 28166883.1603; train_optim_loss: 28166883.1603; val_kl_reg_loss: 62610.2893; val_edge_recon_loss: 710305.6542; val_gene_expr_recon_loss: 20175769.2000; val_masked_gp_l1_reg_loss: 52710.6797; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 231495.5156; val_chrom_access_recon_loss: 6343135.7667; val_global_loss: 27576026.8000; val_optim_loss: 27576026.8000
Epoch 4/400 |--------------------| 1.0% val_auroc_score: 0.9167; val_auprc_score: 0.9043; val_best_acc_score: 0.8385; val_best_f1_score: 0.8462; train_kl_reg_loss: 66871.4490; train_edge_recon_loss: 643347.7519; train_gene_expr_recon_loss: 20412448.4275; train_masked_gp_l1_reg_loss: 54570.5024; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 196172.5117; train_chrom_access_recon_loss: 6325911.0954; train_global_loss: 27699321.7863; train_optim_loss: 27699321.7863; val_kl_reg_loss: 69915.6503; val_edge_recon_loss: 625077.8667; val_gene_expr_recon_loss: 19921268.5333; val_masked_gp_l1_reg_loss: 56512.4180; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 170741.5625; val_chrom_access_recon_loss: 6298696.1667; val_global_loss: 27142212.1333; val_optim_loss: 27142212.1333
Epoch 5/400 |--------------------| 1.2% val_auroc_score: 0.9226; val_auprc_score: 0.9117; val_best_acc_score: 0.8472; val_best_f1_score: 0.8559; train_kl_reg_loss: 68812.9293; train_edge_recon_loss: 615598.7495; train_gene_expr_recon_loss: 20221753.6794; train_masked_gp_l1_reg_loss: 57743.3928; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 152155.3129; train_chrom_access_recon_loss: 6265112.2710; train_global_loss: 27381176.1374; train_optim_loss: 27381176.1374; val_kl_reg_loss: 68363.0333; val_edge_recon_loss: 611531.0292; val_gene_expr_recon_loss: 19753910.0000; val_masked_gp_l1_reg_loss: 58969.2617; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 140987.8125; val_chrom_access_recon_loss: 6234432.8333; val_global_loss: 26868195.3333; val_optim_loss: 26868195.3333
Epoch 6/400 |--------------------| 1.5% val_auroc_score: 0.9341; val_auprc_score: 0.9249; val_best_acc_score: 0.8643; val_best_f1_score: 0.8715; train_kl_reg_loss: 67040.3349; train_edge_recon_loss: 604065.6803; train_gene_expr_recon_loss: 20077736.3359; train_masked_gp_l1_reg_loss: 59989.5634; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 131558.1003; train_chrom_access_recon_loss: 6228082.4237; train_global_loss: 27168472.5191; train_optim_loss: 27168472.5191; val_kl_reg_loss: 65748.1826; val_edge_recon_loss: 606470.1000; val_gene_expr_recon_loss: 19602480.4000; val_masked_gp_l1_reg_loss: 60958.1211; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 124200.3125; val_chrom_access_recon_loss: 6208731.2667; val_global_loss: 26668587.7333; val_optim_loss: 26668587.7333
Epoch 7/400 |--------------------| 1.8% val_auroc_score: 0.9359; val_auprc_score: 0.9265; val_best_acc_score: 0.8653; val_best_f1_score: 0.8735; train_kl_reg_loss: 64451.8433; train_edge_recon_loss: 599718.2638; train_gene_expr_recon_loss: 19906641.5725; train_masked_gp_l1_reg_loss: 61682.1401; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 119057.0243; train_chrom_access_recon_loss: 6178307.2328; train_global_loss: 26929858.1374; train_optim_loss: 26929858.1374; val_kl_reg_loss: 63378.1945; val_edge_recon_loss: 598343.1500; val_gene_expr_recon_loss: 19496025.2000; val_masked_gp_l1_reg_loss: 62493.6680; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 114890.0938; val_chrom_access_recon_loss: 6176199.4667; val_global_loss: 26511330.0000; val_optim_loss: 26511330.0000
Epoch 8/400 |--------------------| 2.0% val_auroc_score: 0.9461; val_auprc_score: 0.9354; val_best_acc_score: 0.8802; val_best_f1_score: 0.8857; train_kl_reg_loss: 62567.6817; train_edge_recon_loss: 594212.2247; train_gene_expr_recon_loss: 19807265.4351; train_masked_gp_l1_reg_loss: 63121.6557; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 110800.0964; train_chrom_access_recon_loss: 6153204.6298; train_global_loss: 26791171.7099; train_optim_loss: 26791171.7099; val_kl_reg_loss: 62143.7133; val_edge_recon_loss: 593447.4917; val_gene_expr_recon_loss: 19394292.2667; val_masked_gp_l1_reg_loss: 63756.8203; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 107767.1641; val_chrom_access_recon_loss: 6184617.0333; val_global_loss: 26406024.5333; val_optim_loss: 26406024.5333
Epoch 9/400 |--------------------| 2.2% val_auroc_score: 0.9513; val_auprc_score: 0.9421; val_best_acc_score: 0.8894; val_best_f1_score: 0.8942; train_kl_reg_loss: 60749.0037; train_edge_recon_loss: 589647.1479; train_gene_expr_recon_loss: 19685946.1832; train_masked_gp_l1_reg_loss: 64309.0200; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 104288.2998; train_chrom_access_recon_loss: 6107329.4351; train_global_loss: 26612269.0840; train_optim_loss: 26612269.0840; val_kl_reg_loss: 58508.9487; val_edge_recon_loss: 590642.2750; val_gene_expr_recon_loss: 19240833.7333; val_masked_gp_l1_reg_loss: 64982.5625; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 102580.0078; val_chrom_access_recon_loss: 6075923.7333; val_global_loss: 26133470.4000; val_optim_loss: 26133470.4000
Epoch 10/400 |--------------------| 2.5% val_auroc_score: 0.9508; val_auprc_score: 0.9413; val_best_acc_score: 0.8878; val_best_f1_score: 0.8921; train_kl_reg_loss: 59313.0050; train_edge_recon_loss: 586527.6741; train_gene_expr_recon_loss: 19580537.6947; train_masked_gp_l1_reg_loss: 65356.2835; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 99896.5032; train_chrom_access_recon_loss: 6082298.1756; train_global_loss: 26473929.3435; train_optim_loss: 26473929.3435; val_kl_reg_loss: 57937.5177; val_edge_recon_loss: 586222.1708; val_gene_expr_recon_loss: 19224970.4000; val_masked_gp_l1_reg_loss: 65893.8750; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 97731.5000; val_chrom_access_recon_loss: 6115527.0667; val_global_loss: 26148283.0667; val_optim_loss: 26148283.0667
Epoch 11/400 |--------------------| 2.8% val_auroc_score: 0.9545; val_auprc_score: 0.9468; val_best_acc_score: 0.8925; val_best_f1_score: 0.8958; train_kl_reg_loss: 58408.6939; train_edge_recon_loss: 584311.6808; train_gene_expr_recon_loss: 19480745.3282; train_masked_gp_l1_reg_loss: 66246.9430; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 96064.1140; train_chrom_access_recon_loss: 6046618.5725; train_global_loss: 26332395.2061; train_optim_loss: 26332395.2061; val_kl_reg_loss: 57348.6203; val_edge_recon_loss: 584802.3667; val_gene_expr_recon_loss: 19162521.7333; val_masked_gp_l1_reg_loss: 66628.1328; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 94743.3828; val_chrom_access_recon_loss: 6049973.3333; val_global_loss: 26016018.1333; val_optim_loss: 26016018.1333
