[True]
Run timestamp: 09102023_221623_56.
Script arguments:
['../train_nichecompass_reference_model.py', '--dataset', 'spatial_atac_rna_seq_mouse_brain_batch2', '--reference_batches', 'None', '--n_neighbors', '4', '--filter_genes', '--n_hvg', '0', '--n_svg', '3000', '--n_svp', '15000', '--nichenet_keep_target_genes_ratio', '1.0', '--nichenet_max_n_target_genes_per_gp', '250', '--include_mebocost_gps', '--include_collectri_gps', '--include_brain_marker_gps', '--species', 'mouse', '--gp_filter_mode', 'subset', '--combine_overlap_gps', '--overlap_thresh_source_genes', '0.9', '--overlap_thresh_target_genes', '0.9', '--overlap_thresh_genes', '0.9', '--counts_key', 'counts', '--condition_key', 'batch', '--cat_covariates_keys', 'batch', '--cat_covariates_no_edges', 'True', '--spatial_key', 'spatial', '--adj_key', 'spatial_connectivities', '--mapping_entity_key', 'mapping_entity', '--gp_targets_mask_key', 'nichecompass_gp_targets', '--gp_sources_mask_key', 'nichecompass_gp_sources', '--gp_names_key', 'nichecompass_gp_names', '--include_atac_modality', '--filter_peaks', '--min_cell_peak_thresh_ratio', '0.005', '--min_cell_gene_thresh_ratio', '0.005', '--model_label', 'reference', '--active_gp_names_key', 'nichecompass_active_gp_names', '--latent_key', 'nichecompass_latent', '--n_addon_gp', '100', '--active_gp_thresh_ratio', '0.003', '--gene_expr_recon_dist', 'nb', '--cat_covariates_embeds_injection', 'None', '--cat_covariates_embeds_nums', '0', '--log_variational', '--node_label_method', 'one-hop-norm', '--n_layers_encoder', '1', '--n_hidden_encoder', 'None', '--conv_layer_encoder', 'gatv2conv', '--n_epochs', '400', '--n_epochs_all_gps', '25', '--n_epochs_no_cat_covariates_contrastive', '0', '--lr', '0.001', '--lambda_edge_recon', '5000000', '--lambda_gene_expr_recon', '3000', '--lambda_chrom_access_recon', '3000', '--lambda_cat_covariates_contrastive', '0.0', '--contrastive_logits_pos_ratio', '0.0', '--contrastive_logits_neg_ratio', '0.0', '--lambda_group_lasso', '0.', '--lambda_l1_masked', '300', '--lambda_l1_addon', '300.', '--edge_batch_size', '256', '--node_batch_size', 'None', '--n_sampled_neighbors', '4', '--timestamp_suffix', '_56']

Preparing the gene program mask...
Number of gene programs before filtering and combining: 3404.
Number of gene programs after filtering and combining: 2803.

Filtering genes...
Starting with 22914 genes.
Keeping 12959 genes after filtering genes with expression in {} cells.
Keeping 3000 spatially variable, highly variable or gene program relevant genes.

Filtering peaks...
Starting with 121068 peaks.
Keeping 120652 peaks after filtering  peaks with counts in less than 46 cells.
Keeping 15000 peaks after filtering spatially variable peaks.
Keeping 2465 peaks after filtering peaks with no matching genes in gp mask.

Training model...
--- INITIALIZING NEW NETWORK MODULE: VARIATIONAL GENE PROGRAM GRAPH AUTOENCODER ---
LOSS -> include_edge_recon_loss: True, include_gene_expr_recon_loss: True, rna_recon_loss: nb, include_chrom_access_recon_loss: True, atac_recon_loss: nb 
NODE LABEL METHOD -> one-hop-norm
ACTIVE GP THRESHOLD RATIO -> 0.003
LOG VARIATIONAL -> True
CATEGORICAL COVARIATES EMBEDDINGS INJECTION -> ['None']
ONE HOP GCN NORM RNA NODE LABEL AGGREGATOR
ONE HOP GCN NORM ATAC NODE LABEL AGGREGATOR
ENCODER -> n_input: 5213, n_cat_covariates_embed_input: 0, n_hidden: 2323, n_latent: 2223, n_addon_latent: 100, n_fc_layers: 1, n_layers: 1, conv_layer: gatv2conv, n_attention_heads: 4, dropout_rate: 0.0, use_bn: False
COSINE SIM GRAPH DECODER -> dropout_rate: 0.0
MASKED TARGET RNA DECODER -> n_prior_gp_input: 2223, n_addon_gp_input: 100, n_cat_covariates_embed_input: 0, n_output: 2748
MASKED SOURCE RNA DECODER -> n_prior_gp_input: 2223, n_addon_gp_input: 100, n_cat_covariates_embed_input: 0, n_output: 2748
MASKED TARGET ATAC DECODER -> n_prior_gp_input: 2223, n_addon_gp_input: 100, n_cat_covariates_embed_input: 0, n_output: 2465
MASKED SOURCE ATAC DECODER -> n_prior_gp_input: 2223, n_addon_gp_input: 100, n_cat_covariates_embed_input: 0, n_output: 2465

--- INITIALIZING TRAINER ---
Number of training nodes: 8293
Number of validation nodes: 922
Number of training edges: 16751
Number of validation edges: 1861
Edge batch size: 256
Node batch size: None

--- MODEL TRAINING ---
Epoch 1/400 |--------------------| 0.2% val_auroc_score: 0.6507; val_auprc_score: 0.6368; val_best_acc_score: 0.5003; val_best_f1_score: 0.6667; train_kl_reg_loss: 51142.3003; train_edge_recon_loss: 3524867.4659; train_gene_expr_recon_loss: 13960272.0606; train_masked_gp_l1_reg_loss: 91526.4805; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 2987199.2292; train_chrom_access_recon_loss: 6929488.5833; train_global_loss: 27544496.0303; train_optim_loss: 27544496.0303; val_kl_reg_loss: 120815.1816; val_edge_recon_loss: 4065609.3438; val_gene_expr_recon_loss: 13004426.0000; val_masked_gp_l1_reg_loss: 75077.0938; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 1681276.1250; val_chrom_access_recon_loss: 6796328.3750; val_global_loss: 25743532.5000; val_optim_loss: 25743532.5000
Epoch 2/400 |--------------------| 0.5% val_auroc_score: 0.6923; val_auprc_score: 0.6884; val_best_acc_score: 0.5414; val_best_f1_score: 0.6817; train_kl_reg_loss: 98698.4505; train_edge_recon_loss: 3523691.5758; train_gene_expr_recon_loss: 12740425.5758; train_masked_gp_l1_reg_loss: 71962.5785; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 925764.1979; train_chrom_access_recon_loss: 6590574.8561; train_global_loss: 23951117.2727; train_optim_loss: 23951117.2727; val_kl_reg_loss: 91243.1328; val_edge_recon_loss: 4062602.8125; val_gene_expr_recon_loss: 12648220.2500; val_masked_gp_l1_reg_loss: 71210.2422; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 452646.2812; val_chrom_access_recon_loss: 6633083.1875; val_global_loss: 23959006.0000; val_optim_loss: 23959006.0000
Epoch 3/400 |--------------------| 0.8% val_auroc_score: 0.7565; val_auprc_score: 0.7410; val_best_acc_score: 0.6857; val_best_f1_score: 0.7131; train_kl_reg_loss: 91197.0268; train_edge_recon_loss: 3514710.6061; train_gene_expr_recon_loss: 12585448.1061; train_masked_gp_l1_reg_loss: 71558.0289; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 305357.0526; train_chrom_access_recon_loss: 6534622.7348; train_global_loss: 23102893.5758; train_optim_loss: 23102893.5758; val_kl_reg_loss: 96581.9121; val_edge_recon_loss: 4031607.6875; val_gene_expr_recon_loss: 12650995.0000; val_masked_gp_l1_reg_loss: 72633.3906; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 209934.1562; val_chrom_access_recon_loss: 6748704.2500; val_global_loss: 23810457.0000; val_optim_loss: 23810457.0000
Epoch 4/400 |--------------------| 1.0% val_auroc_score: 0.8145; val_auprc_score: 0.7917; val_best_acc_score: 0.7418; val_best_f1_score: 0.7627; train_kl_reg_loss: 77664.2441; train_edge_recon_loss: 3487828.4394; train_gene_expr_recon_loss: 12497592.0606; train_masked_gp_l1_reg_loss: 74481.1774; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 167766.4548; train_chrom_access_recon_loss: 6493162.1136; train_global_loss: 22798494.5758; train_optim_loss: 22798494.5758; val_kl_reg_loss: 60718.7476; val_edge_recon_loss: 3697491.6875; val_gene_expr_recon_loss: 12603000.2500; val_masked_gp_l1_reg_loss: 77279.5703; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 135985.2969; val_chrom_access_recon_loss: 6661527.5000; val_global_loss: 23236002.7500; val_optim_loss: 23236002.7500
Epoch 5/400 |--------------------| 1.2% val_auroc_score: 0.8185; val_auprc_score: 0.7834; val_best_acc_score: 0.7410; val_best_f1_score: 0.7868; train_kl_reg_loss: 73194.9167; train_edge_recon_loss: 3171056.5303; train_gene_expr_recon_loss: 12473774.3333; train_masked_gp_l1_reg_loss: 84383.8778; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 118973.6596; train_chrom_access_recon_loss: 6467442.3712; train_global_loss: 22388825.6061; train_optim_loss: 22388825.6061; val_kl_reg_loss: 94433.6592; val_edge_recon_loss: 3014947.9688; val_gene_expr_recon_loss: 12623813.6250; val_masked_gp_l1_reg_loss: 89248.9219; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 105530.9766; val_chrom_access_recon_loss: 6671717.6250; val_global_loss: 22599692.5000; val_optim_loss: 22599692.5000
Epoch 6/400 |--------------------| 1.5% val_auroc_score: 0.8509; val_auprc_score: 0.8206; val_best_acc_score: 0.7569; val_best_f1_score: 0.7923; train_kl_reg_loss: 101145.6080; train_edge_recon_loss: 2945519.1174; train_gene_expr_recon_loss: 12399783.6364; train_masked_gp_l1_reg_loss: 90842.0276; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 97517.5298; train_chrom_access_recon_loss: 6424774.9621; train_global_loss: 22059582.6667; train_optim_loss: 22059582.6667; val_kl_reg_loss: 100580.9053; val_edge_recon_loss: 2954136.8125; val_gene_expr_recon_loss: 12374507.5000; val_masked_gp_l1_reg_loss: 91349.8203; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 89861.5078; val_chrom_access_recon_loss: 6525015.6250; val_global_loss: 22135452.7500; val_optim_loss: 22135452.7500
Epoch 7/400 |--------------------| 1.8% val_auroc_score: 0.8577; val_auprc_score: 0.8198; val_best_acc_score: 0.7818; val_best_f1_score: 0.7985; train_kl_reg_loss: 97587.5542; train_edge_recon_loss: 2929174.1250; train_gene_expr_recon_loss: 12316762.5000; train_masked_gp_l1_reg_loss: 91685.8849; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 84632.1074; train_chrom_access_recon_loss: 6390172.3788; train_global_loss: 21910014.5455; train_optim_loss: 21910014.5455; val_kl_reg_loss: 95306.5439; val_edge_recon_loss: 2937865.8438; val_gene_expr_recon_loss: 12336972.1250; val_masked_gp_l1_reg_loss: 92313.4844; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 80260.6406; val_chrom_access_recon_loss: 6544585.5625; val_global_loss: 22087304.2500; val_optim_loss: 22087304.2500
Epoch 8/400 |--------------------| 2.0% val_auroc_score: 0.8712; val_auprc_score: 0.8398; val_best_acc_score: 0.8015; val_best_f1_score: 0.8188; train_kl_reg_loss: 93926.8696; train_edge_recon_loss: 2885004.2083; train_gene_expr_recon_loss: 12264470.8182; train_masked_gp_l1_reg_loss: 93027.1937; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 76791.0579; train_chrom_access_recon_loss: 6369123.7803; train_global_loss: 21782343.9697; train_optim_loss: 21782343.9697; val_kl_reg_loss: 95890.4277; val_edge_recon_loss: 2875011.1875; val_gene_expr_recon_loss: 12328133.6250; val_masked_gp_l1_reg_loss: 94115.6094; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 73805.3828; val_chrom_access_recon_loss: 6494074.7500; val_global_loss: 21961031.0000; val_optim_loss: 21961031.0000
Epoch 9/400 |--------------------| 2.2% val_auroc_score: 0.8806; val_auprc_score: 0.8411; val_best_acc_score: 0.8251; val_best_f1_score: 0.8381; train_kl_reg_loss: 94251.8262; train_edge_recon_loss: 2852797.2614; train_gene_expr_recon_loss: 12198075.5455; train_masked_gp_l1_reg_loss: 94820.6199; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 72311.6381; train_chrom_access_recon_loss: 6333477.2348; train_global_loss: 21645734.2727; train_optim_loss: 21645734.2727; val_kl_reg_loss: 95217.7090; val_edge_recon_loss: 2908801.0312; val_gene_expr_recon_loss: 12328554.7500; val_masked_gp_l1_reg_loss: 95711.9297; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 71679.7500; val_chrom_access_recon_loss: 6519122.6875; val_global_loss: 22019087.7500; val_optim_loss: 22019087.7500
Epoch 10/400 |--------------------| 2.5% val_auroc_score: 0.8807; val_auprc_score: 0.8390; val_best_acc_score: 0.8243; val_best_f1_score: 0.8416; train_kl_reg_loss: 95949.2995; train_edge_recon_loss: 2816751.0455; train_gene_expr_recon_loss: 12134054.3788; train_masked_gp_l1_reg_loss: 96430.7602; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 70499.2491; train_chrom_access_recon_loss: 6323177.5985; train_global_loss: 21536862.3636; train_optim_loss: 21536862.3636; val_kl_reg_loss: 101848.2764; val_edge_recon_loss: 2846549.4688; val_gene_expr_recon_loss: 12182747.3750; val_masked_gp_l1_reg_loss: 97161.3750; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 69473.8984; val_chrom_access_recon_loss: 6479808.0625; val_global_loss: 21777588.0000; val_optim_loss: 21777588.0000
Epoch 11/400 |--------------------| 2.8% val_auroc_score: 0.8899; val_auprc_score: 0.8514; val_best_acc_score: 0.8294; val_best_f1_score: 0.8456; train_kl_reg_loss: 96849.0688; train_edge_recon_loss: 2801057.8636; train_gene_expr_recon_loss: 12089450.7273; train_masked_gp_l1_reg_loss: 97496.4016; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 68490.6541; train_chrom_access_recon_loss: 6297759.3333; train_global_loss: 21451104.0000; train_optim_loss: 21451104.0000; val_kl_reg_loss: 98989.8623; val_edge_recon_loss: 2859105.9375; val_gene_expr_recon_loss: 12052895.0000; val_masked_gp_l1_reg_loss: 98091.8906; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 67467.3047; val_chrom_access_recon_loss: 6355869.1250; val_global_loss: 21532418.5000; val_optim_loss: 21532418.5000
